index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,84,鄂州,0.9,84,84,29,67,117,44,良,178.0000,18,2014-12
1,144,鄂州,2.258,278,38,56,52,166,110,轻度污染,261.1290,43,2015-01
2,128,鄂州,1.568,226,28,38,69,140,96,轻度污染,258.4286,30,2015-02
3,87,鄂州,1.281,148,30,34,67,101,63,良,222.0645,24,2015-03
4,86,鄂州,1.29,140,39,31,111,100,61,良,223.1333,21,2015-04
5,111,鄂州,1.271,186,53,22,109,120,80,轻度污染,289.4839,14,2015-05
6,79,鄂州,1.303,146,42,18,124,80,51,良,235.0000,24,2015-06
7,74,鄂州,1.126,147,43,16,121,66,38,良,204.9677,17,2015-07
8,89,鄂州,1.071,137,25,17,144,69,41,良,259.8065,17,2015-08
9,95,鄂州,1.193,135,45,22,150,78,50,良,299.9333,21,2015-09
10,99,鄂州,1.477,150,35,40,138,116,69,良,258.3871,28,2015-10
11,73,鄂州,1.537,117,29,34,48,74,53,良,195.1667,18,2015-11
12,143,鄂州,1.629,291,54,45,48,154,108,轻度污染,263.8710,22,2015-12
13,135,鄂州,1.742,278,68,43,49,143,101,轻度污染,282.6129,19,2016-01
14,110,鄂州,1.448,284,53,34,104,128,80,轻度污染,281.5862,24,2016-02
15,114,鄂州,1.416,222,45,46,123,131,82,轻度污染,280.1935,26,2016-03
16,80,鄂州,1.443,130,43,35,124,74,46,良,210.3333,21,2016-04
17,88,鄂州,1.487,177,44,30,131,94,55,良,236.8387,19,2016-05
18,78,鄂州,1.673,140,42,22,126,63,41,良,216.2000,16,2016-06
19,71,鄂州,1.271,148,35,19,114,58,40,良,215.8065,13,2016-07
20,94,鄂州,1.197,159,38,18,148,63,39,良,291.3226,16,2016-08
21,96,鄂州,1.123,156,35,29,150,67,42,良,270.2000,23,2016-09
22,57,鄂州,1.255,129,31,33,60,55,35,良,168.6452,12,2016-10
23,79,鄂州,1.373,120,31,43,46,81,58,良,192.5667,19,2016-11
24,116,鄂州,1.348,186,59,54,51,118,87,轻度污染,243.6452,25,2016-12
25,120,鄂州,1.41,257,40,47,52,131,92,轻度污染,246.5806,20,2017-01
26,99,鄂州,1.214,215,63,42,64,109,75,良,218.9643,24,2017-02
27,91,鄂州,1.148,250,51,41,74,109,65,良,220.4194,20,2017-03
28,77,鄂州,0.95,107,38,33,108,75,50,良,185.9667,16,2017-04
29,93,鄂州,1.113,165,48,33,120,84,53,良,252.4839,15,2017-05
30,72,鄂州,1.18,129,43,26,113,64,41,良,221.0000,10,2017-06
31,65,鄂州,1.026,140,42,22,101,60,34,良,216.6452,9,2017-07
32,57,鄂州,1.013,92,28,20,101,49,31,良,186.6774,8,2017-08
33,66,鄂州,1.08,136,33,28,106,51,33,良,171.4667,12,2017-09
34,52,鄂州,0.99,129,22,31,81,48,33,良,139.6129,11,2017-10
35,101,鄂州,1.26,155,45,55,69,108,75,轻度污染,230.3000,18,2017-11
36,117,鄂州,1.313,221,57,58,30,120,87,轻度污染,224.9355,19,2017-12
37,100,鄂州,1.429,169,40,44,51,94,74,良,213.8387,14,2018-01
38,94,鄂州,1.257,155,35,42,68,96,69,良,221.3571,14,2018-02
39,69,鄂州,1.155,129,33,43,87,74,48,良,156.4194,15,2018-03
40,72,鄂州,1.19,132,0,38,115,83,46,良,181.4667,14,2018-04
41,72,鄂州,1.016,116,36,31,114,60,35,良,177.5806,10,2018-05
42,89,鄂州,1.123,168,36,27,141,58,34,良,194.7667,11,2018-06
43,75,鄂州,1.029,150,28,22,127,49,26,良,214.6774,10,2018-07
44,82,鄂州,1.026,131,43,20,136,47,26,良,180.8387,8,2018-08
45,71,鄂州,0.89,120,37,25,120,53,29,良,214.6333,7,2018-09
46,78,鄂州,1.026,139,47,38,116,73,42,良,214.4194,11,2018-10
47,74,鄂州,1.143,173,28,39,67,79,52,良,196.5667,11,2018-11
48,81,鄂州,1.068,155,20,34,40,87,57,良,190.4839,8,2018-12
49,76,鄂州,1.025,103,50,35,33,76,55,良,154.2500,8,2019-01
