index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,101,酒泉,0.9,101,101,46,60,100,76,轻度污染,241.0000,17,2014-12
1,90,酒泉,1.042,161,60,40,48,124,58,良,161.2581,24,2015-01
2,93,酒泉,0.893,194,33,29,48,131,55,良,201.2143,21,2015-02
3,108,酒泉,0.693,209,68,32,84,165,54,轻度污染,271.1333,17,2015-03
4,111,酒泉,0.707,328,70,26,127,154,50,轻度污染,275.2069,8,2015-04
5,92,酒泉,0.552,231,48,27,124,114,46,良,228.4194,15,2015-05
6,90,酒泉,0.443,162,54,28,119,97,51,良,264.1333,8,2015-06
7,74,酒泉,1.668,118,51,26,107,85,36,良,213.4194,8,2015-07
8,96,酒泉,0.548,500,51,25,109,118,36,良,214.0000,10,2015-08
9,72,酒泉,0.577,350,40,26,89,85,28,良,191.6000,7,2015-09
10,83,酒泉,0.719,164,53,34,82,116,38,良,216.3226,10,2015-10
11,75,酒泉,0.883,183,40,35,67,99,44,良,194.1000,16,2015-11
12,72,酒泉,1.084,113,42,40,59,85,40,良,145.3548,40,2015-12
13,84,酒泉,0.871,152,46,42,66,115,42,良,188.6452,28,2016-01
14,107,酒泉,0.569,500,53,31,75,156,39,轻度污染,232.0690,23,2016-02
15,143,酒泉,0.665,482,66,35,94,214,53,轻度污染,277.4839,17,2016-03
16,76,酒泉,0.427,199,54,27,116,89,24,良,196.6000,18,2016-04
17,82,酒泉,0.574,171,48,28,125,95,33,良,224.3548,11,2016-05
18,108,酒泉,0.477,404,59,24,133,124,53,轻度污染,267.6000,8,2016-06
19,95,酒泉,0.481,322,54,32,134,97,51,良,277.9355,8,2016-07
20,99,酒泉,0.387,500,48,23,109,177,62,良,229.5806,6,2016-08
21,68,酒泉,0.497,90,47,27,115,71,33,良,196.9000,11,2016-09
22,74,酒泉,0.706,112,48,31,93,97,34,良,258.0645,13,2016-10
23,126,酒泉,0.817,500,53,36,75,186,52,轻度污染,256.1667,22,2016-11
24,82,酒泉,0.926,113,49,45,65,114,46,良,155.0323,21,2016-12
25,101,酒泉,0.829,500,51,35,75,109,42,轻度污染,178.6452,21,2017-01
26,118,酒泉,0.736,500,54,31,90,81,29,轻度污染,203.2500,19,2017-02
27,117,酒泉,0.684,500,53,34,112,88,30,轻度污染,197.0000,17,2017-03
28,87,酒泉,0.373,254,41,24,121,74,20,良,178.3333,9,2017-04
29,130,酒泉,0.39,500,55,19,130,61,17,轻度污染,239.0968,7,2017-05
30,124,酒泉,0.417,500,66,22,138,74,20,轻度污染,263.5667,8,2017-06
31,93,酒泉,0.416,500,50,23,132,63,15,良,236.0323,9,2017-07
32,76,酒泉,0.419,119,50,22,125,67,19,良,248.7097,11,2017-08
33,78,酒泉,0.437,191,58,25,111,70,19,良,226.3333,14,2017-09
34,69,酒泉,0.532,90,37,28,93,88,28,良,221.9677,14,2017-10
35,74,酒泉,0.723,149,50,31,77,90,31,良,165.6000,19,2017-11
36,138,酒泉,1.01,1137,35,36,43,90,35,轻度污染,165.6774,18,2017-12
37,65,酒泉,0.832,146,0,27,78,92,30,良,155.4194,16,2018-01
38,68,酒泉,0.629,113,0,25,108,80,33,良,156.6786,21,2018-02
39,52,酒泉,0.481,124,0,24,115,64,18,良,142.0968,18,2018-03
40,56,酒泉,0.35,97,0,19,116,70,17,良,142.0333,10,2018-04
41,63,酒泉,0.481,133,0,18,130,72,17,良,176.0645,10,2018-05
42,84,酒泉,0.563,125,52,20,130,80,20,良,203.2333,10,2018-06
43,84,酒泉,0.542,114,54,22,136,64,18,良,272.0968,9,2018-07
44,77,酒泉,0.529,263,47,20,119,47,14,良,214.1935,8,2018-08
45,60,酒泉,0.53,114,40,22,100,61,14,良,239.7667,9,2018-09
46,98,酒泉,0.658,500,37,29,90,143,37,良,216.0645,12,2018-10
47,97,酒泉,0.767,500,40,26,70,125,33,良,223.3000,14,2018-11
48,96,酒泉,1.013,416,40,36,67,128,51,良,233.0000,15,2018-12
49,100,酒泉,1.35,105,89,47,76,129,75,轻度污染,231.2500,18,2019-01
