index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,130,重庆,1.293,236,57,36,18,138,99,轻度污染,56.1667,47,2013-12
1,172,重庆,1.594,248,97,46,27,182,131,中度污染,130.5806,46,2014-01
2,114,重庆,1.375,224,26,34,32,118,86,轻度污染,108.4643,34,2014-02
3,77,重庆,1.139,143,39,39,62,89,56,良,65.1935,39,2014-03
4,62,重庆,1.137,90,30,35,70,69,43,良,45.8000,26,2014-04
5,72,重庆,1.045,137,33,36,80,85,48,良,67.6774,21,2014-05
6,61,重庆,1.067,145,24,33,79,58,36,良,60.7000,13,2014-06
7,86,重庆,0.852,172,32,31,138,62,31,良,109.4516,17,2014-07
8,73,重庆,0.939,136,23,31,119,59,32,良,98.2903,16,2014-08
9,61,重庆,1.08,100,14,32,76,67,39,良,84.0000,14,2014-09
10,96,重庆,1.11,213,44,44,62,104,70,良,98.0968,18,2014-10
11,116,重庆,1.08,194,47,42,17,124,87,轻度污染,127.7000,17,2014-11
12,126,重庆,1.384,223,55,42,17,119,96,轻度污染,143.9355,23,2014-12
13,160,重庆,1.49,262,50,51,22,171,123,中度污染,276.4194,27,2015-01
14,109,重庆,1.171,191,28,44,45,115,82,轻度污染,217.8571,18,2015-02
15,73,重庆,1.135,115,42,47,74,86,51,良,169.1613,18,2015-03
16,74,重庆,0.993,130,23,47,108,80,46,良,170.4000,16,2015-04
17,67,重庆,0.916,94,38,44,93,73,40,良,162.4516,13,2015-05
18,57,重庆,0.967,104,33,36,74,60,36,良,154.3333,9,2015-06
19,70,重庆,0.958,107,33,39,102,78,46,良,201.0000,13,2015-07
20,70,重庆,0.961,126,32,39,103,69,43,良,203.0645,12,2015-08
21,59,重庆,1.123,102,30,40,68,54,34,良,160.3667,12,2015-09
22,71,重庆,1.142,112,42,49,60,77,48,良,172.9355,16,2015-10
23,66,重庆,1.347,100,40,41,20,70,47,良,176.8333,17,2015-11
24,90,重庆,1.165,182,44,48,20,89,65,良,178.0645,23,2015-12
25,96,重庆,1.335,202,43,49,24,91,71,良,199.7419,20,2016-01
26,96,重庆,1.024,205,32,47,57,90,71,良,226.5862,15,2016-02
27,82,重庆,0.955,148,30,55,78,85,57,良,169.8387,18,2016-03
28,71,重庆,0.83,122,40,51,70,67,45,良,170.7000,12,2016-04
29,77,重庆,0.777,141,35,43,107,78,48,良,194.7742,10,2016-05
30,75,重庆,0.75,158,29,39,114,63,42,良,211.0000,9,2016-06
31,69,重庆,0.723,140,35,35,112,58,34,良,205.5484,11,2016-07
32,72,重庆,0.806,116,35,36,109,64,41,良,224.9355,11,2016-08
33,95,重庆,1.0,186,52,49,75,93,70,良,282.0000,11,2016-09
34,61,重庆,0.984,94,39,43,51,62,40,良,190.0645,11,2016-10
35,78,重庆,1.123,123,35,52,24,82,53,良,189.5667,15,2016-11
36,100,重庆,1.232,152,52,56,24,106,74,轻度污染,195.0323,14,2016-12
37,117,重庆,1.306,220,42,53,28,121,88,轻度污染,222.0645,16,2017-01
38,87,重庆,1.214,164,45,50,40,89,63,良,169.9286,13,2017-02
39,69,重庆,1.023,113,43,54,49,75,45,良,155.0645,15,2017-03
40,65,重庆,0.93,97,35,48,82,64,35,良,140.0000,13,2017-04
41,77,重庆,0.91,145,36,47,112,65,36,良,166.7419,12,2017-05
42,76,重庆,0.957,131,41,44,108,58,35,良,206.5667,10,2017-06
43,93,重庆,0.8,193,38,36,146,52,26,良,198.6452,11,2017-07
44,85,重庆,0.803,163,30,33,139,45,23,良,185.4839,10,2017-08
45,56,重庆,0.907,100,28,38,72,43,24,良,121.1667,9,2017-09
46,52,重庆,0.948,111,25,40,41,43,27,良,106.3871,9,2017-10
47,80,重庆,1.073,132,47,54,40,88,56,良,174.2000,13,2017-11
48,109,重庆,1.21,202,49,58,19,122,82,轻度污染,198.6774,13,2017-12
49,84,重庆,1.187,202,39,54,26,86,59,良,171.5806,12,2018-01
50,83,重庆,1.082,169,34,45,51,85,60,良,185.3929,10,2018-02
51,64,重庆,0.997,100,40,49,66,62,35,良,135.8065,10,2018-03
52,69,重庆,0.86,122,31,44,107,64,30,良,148.6000,10,2018-04
53,74,重庆,0.848,146,32,44,109,57,30,良,178.9032,9,2018-05
54,76,重庆,0.893,195,39,41,115,50,29,良,62.3333,8,2018-06
55,78,重庆,0.719,144,34,31,127,46,26,良,222.3871,8,2018-07
56,104,重庆,0.829,152,45,38,163,53,30,轻度污染,213.7742,8,2018-08
57,52,重庆,0.797,110,30,36,64,41,25,良,174.2333,7,2018-09
58,59,重庆,0.942,104,38,45,35,61,39,良,174.0323,8,2018-10
59,65,重庆,0.913,97,30,43,31,67,45,良,181.6667,9,2018-11
60,71,重庆,0.99,170,32,41,18,72,51,良,172.2903,9,2018-12
61,81,重庆,0.95,85,77,41,22,81,59,良,184.7500,8,2019-01
