index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,197,金华,1.44,484,40,71,54,183,158,中度污染,80.6333,62,2013-12
1,170,金华,1.29,355,73,57,56,140,133,中度污染,126.8387,49,2014-01
2,83,金华,0.836,144,29,32,51,43,62,良,83.1429,19,2014-02
3,86,金华,0.868,138,34,38,87,71,64,良,87.0000,31,2014-03
4,86,金华,0.833,155,41,37,97,82,64,良,94.6667,30,2014-04
5,88,金华,0.887,145,42,29,128,80,58,良,98.0323,25,2014-05
6,100,金华,0.87,192,36,26,144,67,53,良,116.8333,22,2014-06
7,76,金华,0.823,140,24,21,123,56,40,良,92.9677,20,2014-07
8,79,金华,0.871,149,30,25,128,59,45,良,111.3548,22,2014-08
9,85,金华,1.293,131,26,25,123,69,54,良,136.1333,25,2014-09
10,101,金华,0.794,154,70,40,148,98,67,轻度污染,123.3548,30,2014-10
11,85,金华,1.107,125,34,55,71,98,63,良,94.4000,34,2014-11
12,94,金华,1.174,134,62,64,54,121,67,良,109.2581,53,2014-12
13,122,金华,1.374,285,41,66,54,125,92,轻度污染,214.8710,47,2015-01
14,77,金华,1.032,137,26,40,69,78,56,良,142.9643,20,2015-02
15,70,金华,1.003,147,26,46,77,66,49,良,155.7742,22,2015-03
16,81,金华,0.88,122,34,44,121,73,51,良,210.0667,26,2015-04
17,89,金华,0.823,150,45,37,131,67,52,良,229.6774,20,2015-05
18,65,金华,0.8,99,40,26,106,50,39,良,184.5667,20,2015-06
19,69,金华,0.703,114,19,16,117,46,35,良,190.9677,16,2015-07
20,76,金华,0.755,147,20,23,121,57,40,良,207.3548,16,2015-08
21,89,金华,0.803,156,36,32,132,67,51,良,259.4000,19,2015-09
22,85,金华,0.826,150,39,42,114,79,57,良,224.0645,21,2015-10
23,74,金华,1.05,139,37,50,37,62,49,良,201.2667,20,2015-11
24,111,金华,1.123,212,53,57,36,94,81,轻度污染,223.5484,24,2015-12
25,96,金华,1.074,175,55,50,39,85,68,良,213.1613,18,2016-01
26,85,金华,0.786,160,38,31,75,83,62,良,193.8276,12,2016-02
27,92,金华,0.913,175,37,46,85,91,68,良,213.6774,19,2016-03
28,64,金华,0.957,108,38,39,80,58,41,良,137.2667,13,2016-04
29,71,金华,0.9,129,36,33,102,60,42,良,169.0000,12,2016-05
30,62,金华,0.75,110,22,19,105,50,34,良,168.3000,14,2016-06
31,69,金华,0.629,130,33,20,119,46,30,良,206.3871,15,2016-07
32,80,金华,0.603,139,30,18,133,42,30,良,236.2258,10,2016-08
33,70,金华,0.67,124,19,30,106,50,36,良,181.8667,11,2016-09
34,57,金华,0.813,90,32,37,67,54,35,良,178.7419,14,2016-10
35,70,金华,0.957,112,31,49,58,72,47,良,157.4667,18,2016-11
36,91,金华,1.029,159,44,58,57,93,65,良,171.4516,22,2016-12
37,87,金华,0.942,221,39,41,51,77,62,良,151.4516,12,2017-01
38,82,金华,0.85,144,28,38,69,65,60,良,154.2143,10,2017-02
39,69,金华,0.835,132,37,43,81,58,46,良,141.2581,13,2017-03
40,86,金华,0.85,135,33,37,136,63,41,良,152.6667,14,2017-04
41,98,金华,0.729,193,35,30,154,53,34,良,128.4839,10,2017-05
42,58,金华,0.803,132,36,29,101,35,26,良,108.9333,7,2017-06
43,76,金华,0.629,178,30,21,128,40,25,良,104.4194,8,2017-07
44,71,金华,0.648,133,32,20,124,35,23,良,92.4839,7,2017-08
45,80,金华,0.76,134,35,30,129,47,28,良,131.4000,9,2017-09
46,69,金华,0.71,132,37,38,111,56,34,良,149.4194,12,2017-10
47,74,金华,0.937,116,35,53,71,71,48,良,157.0000,16,2017-11
48,104,金华,1.061,190,49,63,30,94,72,轻度污染,178.4516,21,2017-12
49,76,金华,0.955,128,37,53,47,66,47,良,162.4839,17,2018-01
50,67,金华,0.786,123,29,35,76,62,45,良,129.8929,11,2018-02
51,66,金华,0.684,102,29,43,97,56,35,良,138.0645,12,2018-03
52,82,金华,0.713,150,40,37,122,75,41,良,198.8000,13,2018-04
53,78,金华,0.726,137,34,29,129,51,31,良,194.4839,10,2018-05
54,77,金华,0.67,150,38,26,129,46,29,良,59.8333,9,2018-06
55,64,金华,0.503,172,30,19,111,37,22,良,151.3548,8,2018-07
56,70,金华,0.535,129,35,20,121,37,23,良,118.4839,8,2018-08
57,67,金华,0.617,145,28,22,114,43,26,良,175.3000,9,2018-09
58,70,金华,0.616,122,38,36,108,55,34,良,169.0000,10,2018-10
59,57,金华,0.787,92,34,42,51,53,34,良,139.6000,8,2018-11
60,65,金华,0.91,114,32,46,29,62,39,良,155.7097,8,2018-12
61,61,金华,1.0,69,52,47,12,54,40,良,136.5000,7,2019-01
