index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,135,金坛,1.8,135,135,62,77,161,103,轻度污染,111.0000,72,2013-12
1,153,金坛,1.637,284,69,48,62,159,117,中度污染,115.6333,47,2014-01
2,96,金坛,1.318,251,32,29,76,91,71,良,92.8571,25,2014-02
3,100,金坛,1.177,173,55,41,124,116,71,轻度污染,112.3548,37,2014-03
4,93,金坛,1.17,191,45,36,131,82,54,良,107.0667,27,2014-04
5,126,金坛,1.284,207,51,40,182,113,64,轻度污染,139.7419,31,2014-05
6,113,金坛,1.103,202,33,35,169,81,52,轻度污染,132.1000,21,2014-06
7,92,金坛,0.906,149,25,26,145,60,38,良,114.9677,17,2014-07
8,73,金坛,1.003,167,19,27,116,59,36,良,92.8710,22,2014-08
9,75,金坛,0.98,151,34,31,123,55,33,良,104.3000,29,2014-09
10,82,金坛,1.081,124,43,40,123,73,43,良,87.0000,30,2014-10
11,89,金坛,1.693,217,43,54,88,92,65,良,89.4667,27,2014-11
12,86,金坛,1.884,136,51,57,57,95,63,良,86.2258,39,2014-12
13,111,金坛,2.048,201,39,57,62,113,83,轻度污染,198.2581,28,2015-01
14,90,金坛,1.568,190,33,48,83,94,66,良,170.7857,19,2015-02
15,81,金坛,1.31,178,35,51,100,80,55,良,196.2903,21,2015-03
16,97,金坛,1.07,202,47,50,143,78,50,良,256.8333,24,2015-04
17,101,金坛,0.926,151,56,46,157,71,47,轻度污染,279.0968,21,2015-05
18,64,金坛,0.847,124,21,41,61,63,45,良,175.3000,13,2015-06
19,63,金坛,0.671,133,21,44,77,61,38,良,159.9677,12,2015-07
20,76,金坛,0.732,128,28,25,123,60,36,良,208.1935,19,2015-08
21,72,金坛,0.913,148,42,31,119,60,36,良,208.2667,22,2015-09
22,83,金坛,1.01,155,36,51,76,99,57,良,213.6129,33,2015-10
23,82,金坛,1.163,155,37,55,43,81,57,良,226.9000,22,2015-11
24,111,金坛,1.594,215,52,60,54,110,80,轻度污染,226.1935,30,2015-12
25,103,金坛,0.929,178,52,60,51,99,74,轻度污染,215.8710,24,2016-01
26,96,金坛,1.097,188,38,41,69,97,71,良,226.7586,18,2016-02
27,86,金坛,1.403,178,29,44,45,65,62,良,160.2903,23,2016-03
28,55,金坛,1.153,110,35,31,76,54,29,良,87.8333,16,2016-04
29,72,金坛,0.968,113,39,30,114,54,29,良,168.7097,12,2016-05
30,60,金坛,0.92,94,31,11,101,51,25,良,156.2000,11,2016-06
31,56,金坛,0.81,125,0,12,90,46,24,良,152.4839,10,2016-07
32,68,金坛,0.81,144,35,13,119,38,23,良,198.6774,15,2016-08
33,66,金坛,1.15,144,23,17,108,48,29,良,156.5667,14,2016-09
34,45,金坛,1.132,65,26,21,59,41,28,优,96.0968,12,2016-10
35,75,金坛,1.353,139,30,28,50,81,54,良,168.5000,16,2016-11
36,99,金坛,1.513,183,34,47,48,105,73,良,185.0968,17,2016-12
37,92,金坛,1.403,198,42,39,44,93,67,良,173.0000,13,2017-01
38,93,金坛,1.196,150,46,39,76,91,68,良,217.1071,17,2017-02
39,73,金坛,1.087,113,51,43,93,82,51,良,188.0968,14,2017-03
40,90,金坛,0.937,126,44,38,131,90,49,良,254.6667,18,2017-04
41,88,金坛,0.597,147,35,32,137,65,36,良,190.9677,20,2017-05
42,80,金坛,0.697,171,34,26,124,63,38,良,201.2333,12,2017-06
43,50,金坛,0.726,110,22,21,73,49,28,良,114.7419,8,2017-07
44,49,金坛,0.797,90,28,18,91,40,28,优,124.8710,16,2017-08
45,58,金坛,0.697,114,32,24,93,49,33,良,147.4667,21,2017-09
46,53,金坛,0.842,113,29,28,86,48,32,良,130.6452,15,2017-10
47,59,金坛,1.34,82,40,38,67,62,36,良,112.7000,21,2017-11
48,104,金坛,1.365,350,41,56,30,96,75,轻度污染,182.0645,20,2017-12
49,127,金坛,1.277,305,38,48,62,117,95,轻度污染,241.0645,17,2018-01
50,88,金坛,0.871,213,40,35,89,101,61,良,197.6786,16,2018-02
51,78,金坛,0.897,122,40,39,116,84,50,良,186.5000,20,2018-03
52,99,金坛,0.793,155,53,34,141,107,49,良,246.0667,21,2018-04
53,100,金坛,0.935,181,46,31,140,91,45,良,260.2333,15,2018-05
54,120,金坛,0.677,201,44,22,176,60,32,轻度污染,269.7667,11,2018-06
55,90,金坛,0.665,157,29,20,145,41,23,良,265.8710,13,2018-07
56,93,金坛,0.697,201,34,19,147,34,22,良,247.1290,11,2018-08
57,83,金坛,0.893,145,33,35,125,49,33,良,273.3333,14,2018-09
58,81,金坛,0.935,135,48,42,127,68,42,良,259.8710,14,2018-10
59,78,金坛,1.223,217,33,53,80,77,50,良,202.5000,12,2018-11
60,75,金坛,1.481,139,32,49,46,80,50,良,187.9600,14,2018-12
61,90,金坛,1.5,114,59,55,38,93,65,良,207.6667,18,2019-01
