index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,78,金昌,1.6,78,78,26,134,74,38,良,15.0000,70,2013-12
1,95,金昌,1.784,255,42,30,79,128,59,良,62.0323,122,2014-01
2,109,金昌,1.639,449,45,18,77,153,55,轻度污染,99.2857,91,2014-02
3,118,金昌,1.797,365,52,19,102,174,50,轻度污染,109.0968,64,2014-03
4,111,金昌,0.937,348,57,19,123,143,46,轻度污染,99.1481,33,2014-04
5,86,金昌,0.854,124,63,16,130,91,29,良,91.3214,27,2014-05
6,72,金昌,1.307,126,48,13,118,75,25,良,85.0000,33,2014-06
7,66,金昌,1.21,92,43,17,110,64,21,良,75.9677,34,2014-07
8,68,金昌,1.555,140,42,17,114,52,20,良,90.3871,38,2014-08
9,76,金昌,1.55,242,46,18,104,86,28,良,103.1667,31,2014-09
10,70,金昌,1.435,141,40,19,100,87,31,良,59.7742,38,2014-10
11,77,金昌,2.437,130,53,24,78,100,46,良,81.8000,65,2014-11
12,84,金昌,1.474,146,58,29,68,115,48,良,86.7742,103,2014-12
13,88,金昌,1.371,147,56,25,70,121,51,良,163.0323,124,2015-01
14,84,金昌,1.371,183,43,17,75,112,43,良,173.2857,58,2015-02
15,98,金昌,1.123,190,66,18,99,146,43,良,259.9667,53,2015-03
16,103,金昌,0.88,461,56,15,115,127,46,轻度污染,219.8333,27,2015-04
17,98,金昌,0.91,500,53,12,122,132,38,良,222.4839,19,2015-05
18,84,金昌,0.85,163,55,12,129,78,25,良,253.1000,27,2015-06
19,76,金昌,0.723,147,52,17,125,68,20,良,226.5161,27,2015-07
20,84,金昌,1.216,218,49,18,129,74,21,良,244.9032,28,2015-08
21,63,金昌,1.123,158,41,19,103,60,18,良,178.0000,23,2015-09
22,77,金昌,1.445,123,50,27,98,102,36,良,197.8065,38,2015-10
23,84,金昌,1.177,142,55,26,64,111,46,良,240.8000,47,2015-11
24,78,金昌,1.168,146,49,25,59,103,42,良,160.5161,68,2015-12
25,75,金昌,1.023,105,43,18,72,92,44,良,165.0645,51,2016-01
26,108,金昌,0.886,474,42,14,90,151,41,轻度污染,233.7931,45,2016-02
27,130,金昌,0.945,500,52,16,102,196,47,轻度污染,250.3548,37,2016-03
28,74,金昌,1.06,123,55,16,118,80,19,良,199.1667,23,2016-04
29,80,金昌,1.09,184,49,12,118,93,23,良,210.1613,18,2016-05
30,84,金昌,0.917,189,58,12,127,83,24,良,243.2333,32,2016-06
31,77,金昌,1.619,249,42,16,117,74,24,良,222.9677,34,2016-07
32,61,金昌,1.697,105,37,14,97,46,18,良,177.0000,32,2016-08
33,56,金昌,1.13,109,37,17,100,53,18,良,136.5000,31,2016-09
34,70,金昌,0.99,165,37,18,88,89,28,良,236.9677,39,2016-10
35,121,金昌,1.043,362,62,24,87,173,52,轻度污染,260.6000,44,2016-11
36,84,金昌,1.061,166,57,23,71,117,42,良,157.9032,32,2016-12
37,91,金昌,0.984,500,43,20,76,85,34,良,161.1613,55,2017-01
38,90,金昌,0.775,197,45,15,87,68,24,良,178.8571,39,2017-02
39,76,金昌,0.7,302,50,13,110,72,26,良,131.1935,27,2017-03
40,83,金昌,0.62,207,36,13,119,79,22,良,133.8333,19,2017-04
41,144,金昌,0.374,500,65,11,131,49,14,轻度污染,183.1935,28,2017-05
42,98,金昌,0.3,453,55,12,135,63,15,良,194.2667,21,2017-06
43,73,金昌,0.374,101,47,11,126,47,12,良,133.0645,15,2017-07
44,63,金昌,0.348,85,41,12,115,39,11,良,158.4194,18,2017-08
45,61,金昌,0.433,75,44,16,108,62,15,良,166.5333,19,2017-09
46,66,金昌,0.584,108,36,19,90,81,26,良,209.8387,18,2017-10
47,74,金昌,0.653,121,48,20,85,91,34,良,172.2000,26,2017-11
48,127,金昌,0.916,1185,22,23,46,81,33,轻度污染,130.7742,36,2017-12
49,83,金昌,0.768,134,49,18,69,115,39,良,186.9032,39,2018-01
50,56,金昌,0.607,89,0,16,88,63,27,良,104.5357,20,2018-02
51,53,金昌,0.487,187,0,16,103,62,21,良,130.7742,16,2018-03
52,68,金昌,0.417,137,0,14,113,85,22,良,169.6333,14,2018-04
53,72,金昌,0.313,156,0,12,138,66,16,良,201.8065,14,2018-05
54,90,金昌,0.347,113,64,13,148,66,17,良,219.7333,16,2018-06
55,88,金昌,0.306,203,59,12,137,55,13,良,270.2258,12,2018-07
56,68,金昌,0.329,116,45,11,115,47,11,良,166.6452,17,2018-08
57,51,金昌,0.347,66,40,12,96,40,8,良,163.1667,13,2018-09
58,69,金昌,0.474,278,39,19,92,79,21,良,163.6129,23,2018-10
59,98,金昌,0.617,500,35,21,72,145,31,良,194.6667,28,2018-11
60,80,金昌,0.694,500,27,20,62,116,26,良,171.6452,27,2018-12
61,70,金昌,0.975,80,60,25,56,90,44,良,165.0000,23,2019-01
