index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,108,银川,1.897,211,52,63,35,130,79,轻度污染,40.9667,148,2013-12
1,91,银川,2.197,167,49,58,42,117,64,良,54.9032,137,2014-01
2,97,银川,1.329,158,34,41,58,116,67,良,99.8929,108,2014-02
3,96,银川,1.323,425,53,36,80,133,47,良,85.6452,83,2014-03
4,88,银川,0.928,197,58,26,109,122,43,良,85.9655,25,2014-04
5,77,银川,0.929,169,49,30,111,96,28,良,72.2581,17,2014-05
6,70,银川,1.123,98,48,29,117,63,27,良,80.9000,21,2014-06
7,71,银川,0.848,112,47,27,101,87,35,良,89.4516,13,2014-07
8,64,银川,0.839,87,50,31,84,77,38,良,86.7742,17,2014-08
9,64,银川,0.917,82,43,36,60,78,35,良,92.5000,17,2014-09
10,76,银川,1.065,119,34,43,62,101,46,良,75.0000,27,2014-10
11,98,银川,1.47,175,52,54,43,123,70,良,108.7000,106,2014-11
12,90,银川,1.387,155,57,43,40,121,59,良,94.2258,142,2014-12
13,115,银川,1.739,220,56,56,36,154,82,轻度污染,206.6452,176,2015-01
14,87,银川,1.104,144,57,34,53,118,48,良,189.2500,98,2015-02
15,92,银川,0.926,318,50,32,74,127,39,良,215.6452,75,2015-03
16,83,银川,0.783,164,53,27,92,116,38,良,215.0000,21,2015-04
17,82,银川,0.674,150,42,25,101,109,34,良,213.9677,18,2015-05
18,83,银川,0.77,145,55,23,117,103,35,良,253.3000,18,2015-06
19,91,银川,0.803,135,66,29,141,112,45,良,275.0645,17,2015-07
20,74,银川,0.855,121,47,34,95,95,42,良,222.6452,19,2015-08
21,60,银川,0.863,82,32,29,73,71,33,良,172.0333,17,2015-09
22,64,银川,1.223,112,28,42,60,76,34,良,136.8065,30,2015-10
23,107,银川,1.613,221,44,47,32,127,76,轻度污染,261.1000,92,2015-11
24,120,银川,2.058,294,43,56,52,133,74,轻度污染,233.6129,136,2015-12
25,106,银川,1.561,210,47,44,57,116,73,轻度污染,231.3226,117,2016-01
26,104,银川,1.317,234,51,41,87,124,70,轻度污染,248.2414,105,2016-02
27,106,银川,1.023,210,56,36,94,148,64,轻度污染,247.0968,69,2016-03
28,79,银川,0.76,100,53,32,113,106,46,良,226.6667,24,2016-04
29,105,银川,0.681,500,55,27,121,139,49,轻度污染,253.2258,23,2016-05
30,91,银川,0.66,143,65,25,142,81,36,良,272.5000,22,2016-06
31,88,银川,0.848,143,51,22,143,73,30,良,283.1290,17,2016-07
32,69,银川,1.013,110,35,21,111,65,29,良,210.7419,15,2016-08
33,67,银川,0.983,97,49,31,107,70,31,良,188.8333,17,2016-09
34,80,银川,1.274,172,50,42,72,105,52,良,279.0323,33,2016-10
35,112,银川,1.733,182,44,59,55,158,74,轻度污染,274.7333,87,2016-11
36,141,银川,2.245,249,71,62,45,169,103,轻度污染,260.0968,125,2016-12
37,135,银川,2.261,331,68,57,57,143,81,轻度污染,261.0645,129,2017-01
38,104,银川,1.546,192,55,49,84,126,71,轻度污染,237.3929,92,2017-02
39,79,银川,1.119,133,51,42,100,86,47,良,209.0323,52,2017-03
40,87,银川,0.74,185,46,35,122,68,26,良,218.0667,24,2017-04
41,130,银川,0.668,500,74,38,147,83,29,轻度污染,265.3226,28,2017-05
42,119,银川,0.673,200,66,35,176,102,35,轻度污染,289.2000,23,2017-06
43,102,银川,0.742,182,56,30,158,85,33,轻度污染,255.6452,17,2017-07
44,85,银川,0.803,131,42,32,137,77,30,良,271.9032,22,2017-08
45,76,银川,0.887,118,57,38,117,88,30,良,254.3667,26,2017-09
46,80,银川,1.223,171,33,44,85,110,48,良,249.7097,27,2017-10
47,89,银川,1.43,157,45,47,68,111,47,良,203.6667,64,2017-11
48,97,银川,2.081,175,50,55,39,105,57,良,186.5806,71,2017-12
49,64,银川,1.342,124,0,40,68,77,40,良,149.2258,61,2018-01
50,69,银川,1.129,127,0,34,93,82,40,良,161.9286,66,2018-02
51,58,银川,0.974,119,0,41,114,78,31,良,162.9677,47,2018-03
52,68,银川,0.73,140,0,33,128,86,28,良,190.7333,19,2018-04
53,50,银川,0.658,135,0,30,147,43,13,优,147.7419,14,2018-05
54,107,银川,0.69,159,69,29,163,66,25,轻度污染,96.0000,12,2018-06
55,110,银川,0.706,500,51,23,148,51,22,轻度污染,266.9677,9,2018-07
56,87,银川,0.939,127,48,25,140,55,29,良,233.7097,10,2018-08
57,58,银川,0.833,97,36,29,96,48,24,良,204.2000,10,2018-09
58,65,银川,1.029,97,45,41,85,77,37,良,212.6129,15,2018-10
59,94,银川,1.413,243,46,54,52,134,54,良,269.2333,24,2018-11
60,86,银川,1.681,332,35,43,47,117,46,良,221.6129,30,2018-12
61,90,银川,2.063,129,65,54,43,120,62,良,211.0000,41,2019-01
