index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,99,锦州,1.1,99,99,38,56,148,57,良,55.0000,85,2013-12
1,122,锦州,1.613,240,46,44,45,136,90,轻度污染,85.0323,99,2014-01
2,133,锦州,1.496,344,43,42,64,141,99,轻度污染,126.8571,101,2014-02
3,101,锦州,1.623,230,50,42,87,123,70,轻度污染,103.4839,75,2014-03
4,101,锦州,1.067,174,62,42,118,130,65,轻度污染,124.5333,38,2014-04
5,95,锦州,0.974,179,51,41,141,90,50,良,98.6452,33,2014-05
6,87,锦州,0.777,156,38,33,136,64,44,良,106.6000,28,2014-06
7,90,锦州,0.784,176,51,30,136,77,54,良,117.0323,25,2014-07
8,82,锦州,0.903,192,39,31,128,76,47,良,114.9677,26,2014-08
9,65,锦州,0.817,128,35,41,102,69,35,良,89.7333,31,2014-09
10,114,锦州,1.374,269,40,50,81,127,82,轻度污染,107.0968,44,2014-10
11,100,锦州,2.263,220,38,58,45,114,72,轻度污染,111.0000,106,2014-11
12,78,锦州,1.858,202,24,46,42,86,54,良,60.9677,115,2014-12
13,74,锦州,1.645,129,33,48,40,79,53,良,117.1935,117,2015-01
14,106,锦州,1.548,224,37,41,51,113,75,轻度污染,209.6296,101,2015-02
15,99,锦州,1.281,194,39,47,68,123,68,良,249.6129,74,2015-03
16,88,锦州,1.087,155,42,41,98,99,59,良,234.1000,38,2015-04
17,92,锦州,0.845,200,41,35,138,81,47,良,207.9677,36,2015-05
18,93,锦州,0.913,177,49,27,150,59,40,良,273.3000,26,2015-06
19,84,锦州,0.839,147,42,24,135,65,42,良,247.7419,21,2015-07
20,87,锦州,0.958,185,40,28,138,64,44,良,239.1290,23,2015-08
21,73,锦州,0.91,131,32,34,117,58,33,良,219.0333,27,2015-09
22,82,锦州,1.077,182,34,38,92,87,53,良,183.0323,38,2015-10
23,127,锦州,1.273,276,52,42,63,117,91,轻度污染,260.8667,83,2015-11
24,137,锦州,1.674,335,55,51,44,131,103,轻度污染,254.0323,112,2015-12
25,98,锦州,1.277,285,59,40,69,100,70,良,224.0968,102,2016-01
26,88,锦州,1.134,260,48,34,85,90,59,良,213.2069,85,2016-02
27,109,锦州,1.139,248,49,48,99,125,76,轻度污染,223.0323,73,2016-03
28,99,锦州,0.787,360,57,38,128,116,51,良,252.2333,33,2016-04
29,108,锦州,0.806,203,60,36,167,78,40,轻度污染,282.6774,33,2016-05
30,121,锦州,0.817,194,75,31,182,57,42,轻度污染,328.6667,24,2016-06
31,88,锦州,0.758,152,42,25,141,55,41,良,273.0645,17,2016-07
32,77,锦州,0.726,134,32,27,130,46,29,良,233.4839,19,2016-08
33,68,锦州,0.82,125,29,31,113,52,35,良,174.7333,22,2016-09
34,68,锦州,0.981,188,34,38,77,64,46,良,188.6129,37,2016-10
35,105,锦州,1.287,235,54,45,53,96,78,轻度污染,250.4000,81,2016-11
36,127,锦州,1.7,315,47,49,50,115,94,轻度污染,217.6129,97,2016-12
37,120,锦州,1.797,362,53,50,62,114,88,轻度污染,221.0323,101,2017-01
38,99,锦州,1.325,269,45,43,78,93,71,良,191.3214,67,2017-02
39,82,锦州,1.09,187,43,44,94,87,57,良,222.6129,60,2017-03
40,80,锦州,0.94,132,51,34,120,91,43,良,219.3667,33,2017-04
41,102,锦州,0.865,202,46,28,151,68,31,轻度污染,183.0000,19,2017-05
42,104,锦州,0.997,208,35,33,163,65,37,轻度污染,205.5000,21,2017-06
43,105,锦州,0.852,196,59,27,165,60,34,轻度污染,212.4839,14,2017-07
44,73,锦州,0.89,139,35,26,125,48,26,良,197.8065,18,2017-08
45,72,锦州,1.007,126,38,35,119,65,31,良,204.2000,31,2017-09
46,79,锦州,1.142,213,27,44,79,78,53,良,218.9032,33,2017-10
47,69,锦州,1.087,138,37,45,57,71,38,良,150.2000,59,2017-11
48,88,锦州,1.439,186,20,47,29,88,61,良,177.7419,87,2017-12
49,80,锦州,1.316,139,47,43,54,81,54,良,163.9032,81,2018-01
50,88,锦州,1.229,155,47,36,73,88,61,良,184.9286,67,2018-02
51,103,锦州,1.126,241,0,41,93,92,72,轻度污染,222.6452,54,2018-03
52,78,锦州,0.88,152,0,33,123,86,41,良,180.5333,28,2018-04
53,78,锦州,0.871,154,0,30,137,73,35,良,196.0323,26,2018-05
54,97,锦州,0.863,190,55,28,154,63,39,良,222.6000,25,2018-06
55,66,锦州,0.69,122,31,22,111,49,28,良,204.3226,15,2018-07
56,65,锦州,0.894,127,24,25,110,49,23,良,179.6774,18,2018-08
57,55,锦州,0.84,105,34,27,91,51,26,良,200.8333,19,2018-09
58,66,锦州,0.897,156,25,34,77,70,39,良,194.0000,20,2018-10
59,102,锦州,1.253,249,46,45,53,114,71,轻度污染,268.6333,47,2018-11
60,80,锦州,1.155,152,42,37,54,88,53,良,213.7742,53,2018-12
61,111,锦州,1.675,158,89,49,52,114,83,轻度污染,259.2500,63,2019-01
