index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,146,长春,1.43,273,62,59,36,150,111,轻度污染,58.8000,103,2013-12
1,120,长春,1.148,245,50,47,51,128,89,轻度污染,85.1935,78,2014-01
2,117,长春,1.139,278,53,46,68,127,85,轻度污染,115.4643,75,2014-02
3,96,长春,0.974,237,51,47,81,119,68,良,94.5161,52,2014-03
4,91,长春,0.803,142,53,47,101,130,55,良,108.5333,23,2014-04
5,66,长春,0.71,158,34,41,95,76,34,良,56.7097,11,2014-05
6,72,长春,0.707,124,36,47,106,83,38,良,85.7000,9,2014-06
7,84,长春,0.784,200,36,31,115,95,53,良,102.4516,6,2014-07
8,71,长春,0.794,101,48,39,118,81,37,良,101.7419,7,2014-08
9,59,长春,0.667,80,29,38,81,69,26,良,80.8000,8,2014-09
10,178,长春,1.3,431,52,57,88,208,141,中度污染,147.1613,23,2014-10
11,111,长春,1.103,308,51,46,52,134,81,轻度污染,118.0333,55,2014-11
12,110,长春,1.013,233,53,44,44,107,79,轻度污染,114.2258,85,2014-12
13,137,长春,1.323,264,58,53,53,140,104,轻度污染,246.8387,95,2015-01
14,114,长春,1.121,273,43,45,75,120,84,轻度污染,212.9643,68,2015-02
15,82,长春,0.81,151,47,39,96,104,54,良,197.2581,42,2015-03
16,88,长春,0.717,149,41,36,116,113,53,良,227.8000,16,2015-04
17,92,长春,0.661,500,38,33,115,102,37,良,187.6452,8,2015-05
18,86,长春,0.697,145,44,45,137,69,38,良,242.1667,8,2015-06
19,84,长春,0.648,142,36,37,134,74,38,良,240.6774,7,2015-07
20,60,长春,0.655,105,32,32,102,50,28,良,160.6129,7,2015-08
21,64,长春,0.7,108,37,44,92,66,28,良,191.0000,9,2015-09
22,114,长春,0.845,289,41,47,85,113,79,轻度污染,237.5161,21,2015-10
23,154,长春,1.093,497,55,54,63,149,126,中度污染,288.9000,47,2015-11
24,136,长春,1.29,335,52,57,45,131,104,轻度污染,242.1613,78,2015-12
25,101,长春,1.032,223,57,49,54,108,74,轻度污染,224.9032,76,2016-01
26,70,长春,0.783,142,41,35,73,76,46,良,149.2759,53,2016-02
27,96,长春,0.784,199,45,40,99,121,60,良,208.3548,36,2016-03
28,77,长春,0.63,134,53,35,109,96,34,良,194.4667,13,2016-04
29,84,长春,0.587,154,47,34,136,69,28,良,211.4516,10,2016-05
30,80,长春,0.613,150,38,41,131,52,30,良,227.3000,8,2016-06
31,69,长春,0.639,113,34,33,118,49,27,良,213.1290,6,2016-07
32,63,长春,0.632,106,22,35,106,52,25,良,194.0323,7,2016-08
33,55,长春,0.72,92,27,38,77,53,28,良,133.5333,7,2016-09
34,77,长春,1.035,158,37,42,62,78,51,良,235.1613,17,2016-10
35,96,长春,1.36,296,44,43,50,88,71,良,198.9667,43,2016-11
36,108,长春,1.616,206,41,51,42,100,80,轻度污染,210.0000,63,2016-12
37,118,长春,1.732,328,38,51,56,112,88,轻度污染,206.7742,66,2017-01
38,84,长春,1.507,205,41,43,80,82,60,良,176.3214,49,2017-02
39,86,长春,1.465,210,39,51,102,98,61,良,220.5484,35,2017-03
40,86,长春,1.117,192,42,40,117,96,49,良,228.0667,18,2017-04
41,100,长春,0.952,500,38,31,130,68,24,良,179.0968,12,2017-05
42,77,长春,1.043,127,38,42,124,58,24,良,210.7333,11,2017-06
43,81,长春,0.994,131,32,32,137,52,24,良,211.0968,9,2017-07
44,49,长春,0.977,80,28,28,89,37,15,优,154.4194,8,2017-08
45,50,长春,0.963,81,32,35,82,48,17,优,159.4333,10,2017-09
46,96,长春,1.31,251,48,49,78,109,68,良,274.0968,20,2017-10
47,83,长春,0.877,201,45,35,52,88,57,良,214.5000,29,2017-11
48,84,长春,1.223,256,26,45,25,84,60,良,148.3871,50,2017-12
49,71,长春,1.035,125,43,41,53,72,50,良,144.2581,48,2018-01
50,64,长春,1.061,113,38,35,69,62,42,良,125.2857,38,2018-02
51,90,长春,1.061,242,44,44,102,80,57,良,213.8710,22,2018-03
52,67,长春,0.82,130,0,33,117,81,37,良,166.4667,9,2018-04
53,62,长春,0.681,97,0,33,106,63,26,良,141.6452,6,2018-05
54,82,长春,0.73,148,39,36,134,54,24,良,75.0667,6,2018-06
55,57,长春,0.684,103,24,28,95,47,20,良,167.7097,4,2018-07
56,44,长春,0.681,113,23,27,75,35,13,优,133.8387,4,2018-08
57,41,长春,0.63,68,23,29,62,38,15,优,156.9333,5,2018-09
58,51,长春,0.784,93,27,35,57,53,25,良,162.3871,9,2018-10
59,59,长春,0.9,107,29,36,47,62,37,良,156.8333,15,2018-11
60,61,长春,0.887,112,29,35,47,63,38,良,145.7419,22,2018-12
61,66,长春,0.925,83,42,40,46,70,47,良,151.5000,26,2019-01
