index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,177,长沙,1.632,262,81,74,49,143,136,中度污染,75.2143,54,2013-12
1,204,长沙,1.76,356,70,69,59,129,161,重度污染,139.3333,45,2014-01
2,102,长沙,1.471,222,19,34,47,58,77,轻度污染,101.7857,22,2014-02
3,88,长沙,1.277,156,40,41,53,85,65,良,88.9032,24,2014-03
4,84,长沙,1.07,145,35,40,73,84,61,良,92.0000,20,2014-04
5,92,长沙,0.987,156,30,34,75,106,65,良,100.3226,20,2014-05
6,98,长沙,0.973,311,29,29,91,94,73,良,112.2333,16,2014-06
7,69,长沙,0.839,116,37,30,87,79,48,良,83.4194,16,2014-07
8,69,长沙,0.829,120,30,27,99,69,47,良,91.0645,17,2014-08
9,72,长沙,0.957,134,23,31,85,73,51,良,109.0000,18,2014-09
10,129,长沙,1.071,299,24,44,96,124,99,轻度污染,134.8710,24,2014-10
11,99,长沙,1.097,299,41,46,51,80,74,良,98.6333,26,2014-11
12,105,长沙,0.965,240,62,56,48,91,78,轻度污染,113.2903,34,2014-12
13,150,长沙,1.3,257,27,61,48,104,115,中度污染,271.2000,34,2015-01
14,120,长沙,1.181,217,19,42,65,93,91,轻度污染,230.5556,25,2015-02
15,75,长沙,1.103,200,27,38,48,69,55,良,170.1290,18,2015-03
16,70,长沙,0.91,122,28,37,84,74,49,良,150.3000,19,2015-04
17,84,长沙,0.89,206,43,28,85,78,60,良,199.0000,18,2015-05
18,51,长沙,0.75,84,26,24,75,51,31,良,123.5667,16,2015-06
19,64,长沙,0.719,120,34,25,109,56,38,良,169.2258,12,2015-07
20,76,长沙,0.671,131,29,24,126,61,40,良,218.7097,15,2015-08
21,86,长沙,0.807,130,40,29,133,77,51,良,266.7333,15,2015-09
22,97,长沙,0.906,156,33,47,123,107,69,良,254.6129,18,2015-10
23,63,长沙,1.113,107,32,41,39,62,44,良,154.0667,14,2015-11
24,106,长沙,1.039,234,40,46,34,104,77,轻度污染,204.3871,17,2015-12
25,111,长沙,1.248,220,57,46,38,101,82,轻度污染,240.9355,18,2016-01
26,98,长沙,1.028,262,39,36,79,102,71,良,226.0000,21,2016-02
27,95,长沙,1.039,175,33,49,80,103,70,良,218.8065,19,2016-03
28,69,长沙,0.95,105,33,39,90,70,45,良,165.3333,14,2016-04
29,66,长沙,0.829,113,34,34,98,66,40,良,148.3871,14,2016-05
30,66,长沙,0.8,125,36,26,113,53,33,良,175.2000,15,2016-06
31,64,长沙,0.774,156,23,26,106,56,31,良,185.7742,15,2016-07
32,75,长沙,0.784,128,46,27,123,64,37,良,237.2581,14,2016-08
33,95,长沙,0.84,163,32,35,143,84,53,良,272.8667,17,2016-09
34,65,长沙,0.9,130,25,32,64,61,43,良,192.7097,12,2016-10
35,77,长沙,1.08,145,23,43,43,82,55,良,178.7667,14,2016-11
36,112,长沙,1.248,212,40,61,50,109,84,轻度污染,223.3871,18,2016-12
37,129,长沙,1.342,310,48,46,53,107,99,轻度污染,246.6129,16,2017-01
38,86,长沙,1.064,177,31,48,75,79,64,良,177.1071,16,2017-02
39,76,长沙,1.006,227,32,49,63,68,49,良,161.9677,12,2017-03
40,73,长沙,0.94,115,35,41,113,70,41,良,187.5667,13,2017-04
41,94,长沙,0.903,169,44,37,136,62,38,良,214.6129,11,2017-05
42,58,长沙,0.883,142,31,26,98,38,25,良,137.1333,9,2017-06
43,65,长沙,0.739,127,23,24,113,48,26,良,171.8065,13,2017-07
44,61,长沙,0.729,132,35,24,110,43,24,良,176.3226,12,2017-08
45,77,长沙,0.833,174,31,30,122,57,35,良,181.9667,11,2017-09
46,68,长沙,0.8,175,22,35,90,60,46,良,173.5484,11,2017-10
47,115,长沙,1.04,235,43,56,71,96,87,轻度污染,264.9333,15,2017-11
48,119,长沙,1.148,225,50,61,33,98,89,轻度污染,214.3871,16,2017-12
49,106,长沙,1.094,290,32,46,47,75,79,轻度污染,216.0968,12,2018-01
50,99,长沙,1.011,221,42,37,76,87,72,良,207.1071,12,2018-02
51,74,长沙,0.868,143,30,43,87,66,50,良,180.6452,12,2018-03
52,73,长沙,0.833,226,0,36,111,64,38,良,162.3333,13,2018-04
53,64,长沙,0.726,121,0,25,118,49,30,良,152.3871,8,2018-05
54,78,长沙,0.733,164,36,25,129,43,27,良,53.6667,8,2018-06
55,71,长沙,0.729,104,30,22,122,41,24,良,210.3226,9,2018-07
56,79,长沙,0.771,141,43,21,134,44,26,良,161.7742,8,2018-08
57,68,长沙,0.693,105,28,23,116,51,31,良,198.7667,9,2018-09
58,79,长沙,0.723,147,30,40,110,65,46,良,228.1613,10,2018-10
59,72,长沙,0.867,211,25,42,62,55,49,良,179.4333,9,2018-11
60,107,长沙,1.019,319,29,40,33,66,78,轻度污染,234.2903,8,2018-12
61,81,长沙,0.925,100,63,34,28,34,60,良,190.5000,5,2019-01
