index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,162,长治,1.563,312,66,38,22,191,122,中度污染,61.5667,31,2013-12
1,134,长治,2.235,282,51,47,48,158,101,轻度污染,98.3226,34,2014-01
2,105,长治,1.889,245,49,41,51,129,77,轻度污染,106.1852,29,2014-02
3,95,长治,2.139,154,58,42,88,133,61,良,98.1935,47,2014-03
4,90,长治,2.23,139,57,34,90,119,61,良,109.0333,49,2014-04
5,83,长治,1.616,141,58,32,87,115,41,良,85.3226,34,2014-05
6,76,长治,2.047,133,43,30,76,99,46,良,90.5667,24,2014-06
7,72,长治,1.561,108,52,30,87,88,46,良,89.2581,20,2014-07
8,70,长治,1.552,118,28,32,80,75,50,良,90.4516,28,2014-08
9,66,长治,1.503,117,24,28,64,64,47,良,92.3000,23,2014-09
10,107,长治,1.942,225,35,44,76,111,79,轻度污染,101.1935,29,2014-10
11,143,长治,2.64,293,45,47,54,171,109,轻度污染,140.0333,57,2014-11
12,107,长治,2.923,234,42,52,49,126,77,轻度污染,108.8065,79,2014-12
13,121,长治,2.939,243,57,56,53,131,91,轻度污染,222.7097,86,2015-01
14,84,长治,2.443,125,54,39,90,101,59,良,179.5000,49,2015-02
15,85,长治,2.074,118,58,39,120,110,52,良,221.1935,52,2015-03
16,73,长治,1.41,105,45,34,108,86,38,良,176.3000,38,2015-04
17,91,长治,1.174,142,55,26,131,106,56,良,243.2903,27,2015-05
18,99,长治,1.81,163,42,21,150,95,57,良,285.7000,20,2015-06
19,116,长治,1.665,179,78,27,173,91,64,轻度污染,325.6452,27,2015-07
20,78,长治,1.474,129,44,28,120,80,53,良,229.0645,33,2015-08
21,67,长治,1.573,104,38,28,100,73,46,良,200.5000,25,2015-09
22,87,长治,1.852,172,41,44,103,102,59,良,215.5484,37,2015-10
23,94,长治,2.54,200,32,48,55,106,65,良,243.0333,62,2015-11
24,174,长治,2.633,349,45,57,48,191,131,中度污染,286.3667,133,2015-12
25,170,长治,3.281,343,69,59,58,177,129,中度污染,306.5484,164,2016-01
26,114,长治,2.817,320,49,40,83,128,79,轻度污染,255.1034,124,2016-02
27,122,长治,2.458,209,62,42,114,157,84,轻度污染,274.7742,64,2016-03
28,96,长治,1.727,190,49,35,134,121,58,良,266.4000,27,2016-04
29,103,长治,1.139,177,57,28,155,93,45,轻度污染,274.5161,23,2016-05
30,91,长治,1.183,154,0,23,143,72,46,良,268.1667,16,2016-06
31,67,长治,1.213,114,28,20,94,62,44,良,196.0968,9,2016-07
32,62,长治,1.271,80,35,21,102,57,37,良,189.2903,10,2016-08
33,68,长治,1.437,99,42,34,100,78,43,良,191.4333,19,2016-09
34,66,长治,1.742,102,35,40,74,72,41,良,222.2258,25,2016-10
35,128,长治,2.483,273,72,61,58,162,96,轻度污染,308.8333,98,2016-11
36,162,长治,3.213,284,76,75,52,185,123,中度污染,297.2581,155,2016-12
37,150,长治,3.081,286,84,64,63,129,87,轻度污染,285.3548,145,2017-01
38,117,长治,2.779,211,70,58,89,114,72,轻度污染,245.0714,122,2017-02
39,93,长治,1.835,162,51,47,110,112,65,良,226.0645,63,2017-03
40,85,长治,1.43,143,44,39,126,101,49,良,207.6667,26,2017-04
41,112,长治,0.932,214,54,33,164,75,35,轻度污染,188.8065,16,2017-05
42,128,长治,1.287,200,57,28,190,76,48,轻度污染,229.3667,14,2017-06
43,107,长治,1.448,202,44,24,167,75,48,轻度污染,231.3548,10,2017-07
44,99,长治,1.381,156,39,28,154,77,50,良,276.2581,12,2017-08
45,90,长治,1.53,123,42,37,137,99,53,良,256.1000,16,2017-09
46,81,长治,1.555,164,27,36,83,93,57,良,235.2258,11,2017-10
47,95,长治,1.55,165,61,46,82,123,67,良,251.7333,33,2017-11
48,105,长治,1.877,213,53,51,37,115,64,轻度污染,184.2258,53,2017-12
49,124,长治,1.832,233,44,50,63,140,91,轻度污染,232.4194,53,2018-01
50,110,长治,1.489,262,54,32,99,126,76,轻度污染,206.8571,46,2018-02
51,104,长治,1.287,186,59,29,128,125,74,轻度污染,271.1290,15,2018-03
52,78,长治,1.013,148,0,23,141,81,34,良,196.2667,14,2018-04
53,101,长治,1.035,151,0,25,157,92,43,轻度污染,263.9677,15,2018-05
54,131,长治,1.16,188,66,25,193,73,41,轻度污染,278.0333,13,2018-06
55,92,长治,1.058,153,38,15,148,59,40,良,260.0645,8,2018-07
56,97,长治,1.3,173,34,15,154,63,40,良,225.3871,9,2018-08
57,66,长治,1.277,106,40,23,103,52,27,良,187.8000,9,2018-09
58,72,长治,1.148,104,45,35,106,83,41,良,224.8710,12,2018-10
59,86,长治,1.513,203,38,44,64,114,57,良,240.8667,23,2018-11
60,86,长治,1.626,216,55,46,48,114,56,良,229.5806,39,2018-12
61,136,长治,2.075,200,105,51,61,149,103,轻度污染,243.5000,39,2019-01
