index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,82,阜新,1.1,82,82,5,38,114,11,良,167.0000,21,2014-12
1,75,阜新,1.981,144,43,31,38,101,43,良,117.2581,96,2015-01
2,94,阜新,1.764,287,43,24,48,127,54,良,177.5000,74,2015-02
3,99,阜新,1.761,176,45,26,58,144,50,良,244.8065,57,2015-03
4,91,阜新,1.46,178,49,28,79,129,48,良,233.8000,37,2015-04
5,88,阜新,0.758,190,38,27,110,118,44,良,214.7742,33,2015-05
6,78,阜新,0.77,122,41,26,127,70,39,良,229.3000,29,2015-06
7,74,阜新,0.645,127,34,28,122,76,38,良,209.0323,31,2015-07
8,68,阜新,0.748,129,34,28,113,58,35,良,182.6774,30,2015-08
9,57,阜新,0.783,115,33,31,89,53,31,良,144.6667,33,2015-09
10,75,阜新,1.139,179,26,35,71,81,47,良,152.6452,29,2015-10
11,109,阜新,1.517,268,38,34,47,114,77,轻度污染,232.9000,77,2015-11
12,104,阜新,1.713,218,31,36,39,109,74,轻度污染,189.8065,89,2015-12
13,67,阜新,1.642,296,38,24,43,72,42,良,119.7097,60,2016-01
14,62,阜新,0.962,112,37,18,62,69,35,良,121.8276,49,2016-02
15,89,阜新,1.613,190,33,28,78,117,54,良,172.7419,52,2016-03
16,84,阜新,1.853,176,48,26,96,114,43,良,211.1000,28,2016-04
17,83,阜新,0.971,181,44,26,125,99,37,良,206.4839,23,2016-05
18,84,阜新,1.59,138,45,25,134,68,39,良,238.8000,19,2016-06
19,70,阜新,1.087,120,33,21,113,59,36,良,213.5161,15,2016-07
20,54,阜新,0.89,98,31,24,93,56,28,良,142.5161,19,2016-08
21,57,阜新,0.84,95,17,22,82,63,33,良,135.6667,20,2016-09
22,72,阜新,0.845,241,22,28,66,86,47,良,211.3226,30,2016-10
23,94,阜新,1.013,358,30,34,51,102,67,良,198.3333,64,2016-11
24,98,阜新,1.355,218,31,34,52,108,67,良,165.5806,86,2016-12
25,95,阜新,1.245,339,39,32,70,102,61,良,160.2581,74,2017-01
26,84,阜新,0.921,266,40,30,88,89,57,良,172.8929,56,2017-02
27,72,阜新,0.765,187,43,29,106,80,46,良,194.8710,39,2017-03
28,81,阜新,0.63,152,52,25,117,89,33,良,223.2000,18,2017-04
29,113,阜新,0.626,297,36,20,136,59,24,轻度污染,187.7742,11,2017-05
30,84,阜新,0.657,177,37,23,138,61,27,良,205.7000,13,2017-06
31,90,阜新,0.777,161,55,22,148,63,33,良,217.7097,11,2017-07
32,62,阜新,0.632,112,26,21,109,48,25,良,187.2581,12,2017-08
33,68,阜新,0.68,107,37,26,114,65,29,良,207.5000,19,2017-09
34,70,阜新,0.797,185,24,35,87,72,43,良,202.1613,23,2017-10
35,64,阜新,0.72,122,33,31,65,70,34,良,140.8333,34,2017-11
36,71,阜新,1.01,148,26,32,33,74,46,良,119.4516,50,2017-12
37,63,阜新,0.745,140,37,27,67,67,38,良,112.5484,44,2018-01
38,66,阜新,0.725,139,0,22,83,63,42,良,124.5000,45,2018-02
39,76,阜新,0.781,195,0,28,106,67,51,良,165.5484,41,2018-03
40,50,阜新,0.603,183,0,21,126,52,24,良,116.7000,24,2018-04
41,81,阜新,0.561,165,0,19,135,72,33,良,201.5161,22,2018-05
42,94,阜新,0.703,180,49,22,150,52,32,良,213.4000,16,2018-06
43,66,阜新,0.606,129,30,15,116,38,26,良,196.9677,8,2018-07
44,62,阜新,0.619,150,24,20,108,37,18,良,138.8710,15,2018-08
45,57,阜新,0.647,110,26,22,97,44,21,良,176.1667,17,2018-09
46,57,阜新,0.781,158,25,26,76,58,31,良,161.8065,17,2018-10
47,79,阜新,0.833,196,25,34,58,92,53,良,214.1333,42,2018-11
48,66,阜新,0.79,111,36,26,61,76,39,良,172.1935,45,2018-12
49,83,阜新,1.05,160,53,30,56,85,58,良,211.5000,57,2019-01
