index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,50,阜阳,0.3,50,50,42,80,50,18,优,44.0000,28,2014-12
1,108,阜阳,1.013,241,35,38,68,107,81,轻度污染,189.8387,40,2015-01
2,80,阜阳,0.85,178,32,27,77,79,57,良,143.2857,33,2015-02
3,60,阜阳,0.674,126,26,25,79,57,40,良,102.0000,23,2015-03
4,81,阜阳,0.563,146,36,32,109,82,53,良,199.0333,32,2015-04
5,80,阜阳,0.761,125,56,39,105,74,51,良,205.6452,22,2015-05
6,61,阜阳,0.723,102,24,37,97,54,33,良,162.1000,27,2015-06
7,53,阜阳,0.739,76,37,29,83,49,29,良,120.7419,13,2015-07
8,61,阜阳,0.626,94,30,35,79,68,39,良,163.4194,18,2015-08
9,61,阜阳,0.633,97,37,42,82,62,38,良,178.2000,21,2015-09
10,83,阜阳,0.858,149,43,44,85,77,57,良,211.3871,28,2015-10
11,67,阜阳,0.97,120,32,33,45,56,47,良,153.2667,32,2015-11
12,115,阜阳,1.371,262,55,46,31,102,86,轻度污染,229.7742,35,2015-12
13,112,阜阳,1.187,245,38,43,30,98,83,轻度污染,227.7419,31,2016-01
14,107,阜阳,1.014,210,35,37,48,99,79,轻度污染,255.5517,34,2016-02
15,107,阜阳,0.981,229,39,50,72,100,78,轻度污染,214.5161,27,2016-03
16,85,阜阳,0.84,150,48,38,65,99,62,良,230.6333,15,2016-04
17,80,阜阳,0.694,159,44,31,104,86,48,良,203.8710,12,2016-05
18,62,阜阳,0.6,96,40,29,107,50,33,良,165.3667,13,2016-06
19,52,阜阳,0.661,75,33,30,91,41,28,良,138.8710,10,2016-07
20,72,阜阳,0.9,132,39,32,120,55,33,良,215.2258,17,2016-08
21,101,阜阳,0.827,161,39,39,145,81,52,轻度污染,293.4667,16,2016-09
22,66,阜阳,0.71,129,43,34,60,75,43,良,223.7742,18,2016-10
23,111,阜阳,0.967,231,40,41,53,129,82,轻度污染,262.2000,21,2016-11
24,155,阜阳,1.277,240,58,49,50,164,117,中度污染,287.7419,22,2016-12
25,151,阜阳,1.439,326,67,44,52,161,117,中度污染,277.3226,20,2017-01
26,140,阜阳,1.179,219,55,45,77,144,107,轻度污染,277.8571,19,2017-02
27,104,阜阳,0.829,167,60,35,89,116,79,轻度污染,265.7097,14,2017-03
28,95,阜阳,0.797,155,43,33,111,112,62,良,243.0333,12,2017-04
29,106,阜阳,0.726,500,48,32,133,86,48,轻度污染,242.1290,10,2017-05
30,93,阜阳,0.703,134,43,24,148,86,47,良,245.9000,10,2017-06
31,59,阜阳,0.594,117,27,22,95,60,29,良,199.0645,9,2017-07
32,71,阜阳,0.71,116,29,24,120,60,31,良,222.0000,9,2017-08
33,69,阜阳,0.823,128,31,28,110,68,35,良,206.2333,10,2017-09
34,77,阜阳,0.994,160,31,43,101,95,53,良,236.4839,12,2017-10
35,115,阜阳,1.007,248,58,53,82,137,85,轻度污染,244.5667,14,2017-11
36,148,阜阳,1.171,282,52,51,37,142,106,轻度污染,253.9677,15,2017-12
37,133,阜阳,1.09,254,52,39,67,123,101,轻度污染,253.6129,14,2018-01
38,97,阜阳,0.796,173,37,30,77,96,63,良,225.5714,11,2018-02
39,81,阜阳,0.761,176,47,28,99,85,56,良,205.9355,8,2018-03
40,84,阜阳,0.63,148,0,23,123,99,43,良,203.7667,8,2018-04
41,68,阜阳,0.632,128,0,19,128,59,35,良,164.8065,8,2018-05
42,102,阜阳,0.563,163,53,18,160,63,35,轻度污染,229.2000,8,2018-06
43,61,阜阳,0.506,101,23,17,102,47,23,良,164.3871,7,2018-07
44,70,阜阳,0.658,113,25,18,120,56,24,良,211.7419,8,2018-08
45,70,阜阳,0.697,117,34,27,107,72,34,良,244.9000,9,2018-09
46,87,阜阳,0.687,156,52,38,117,96,54,良,262.2581,10,2018-10
47,121,阜阳,0.953,291,23,36,69,137,92,轻度污染,277.0667,7,2018-11
48,114,阜阳,0.968,230,52,36,44,125,83,轻度污染,277.5806,6,2018-12
49,155,阜阳,1.15,221,108,38,55,159,118,中度污染,282.7500,10,2019-01
