index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,81,防城港,1.5,81,81,23,112,113,56,良,162.0000,14,2014-12
1,78,防城港,1.435,148,22,18,71,83,57,良,133.6129,10,2015-01
2,78,防城港,0.957,146,31,12,54,75,56,良,149.1071,7,2015-02
3,46,防城港,0.971,77,11,11,38,47,30,优,63.7097,6,2015-03
4,52,防城港,0.687,85,22,8,49,55,32,良,72.6000,5,2015-04
5,37,防城港,0.494,51,23,7,47,37,18,优,24.7419,4,2015-05
6,29,防城港,0.5,41,17,7,42,29,12,优,23.1667,6,2015-06
7,34,防城港,0.681,59,15,8,52,34,19,优,38.6774,6,2015-07
8,47,防城港,0.729,117,18,12,83,41,24,优,99.5806,5,2015-08
9,42,防城港,0.763,70,26,12,74,39,22,优,75.7667,5,2015-09
10,61,防城港,0.739,100,30,15,93,65,39,良,120.3548,5,2015-10
11,49,防城港,0.93,95,28,17,66,49,28,优,88.8667,5,2015-11
12,50,防城港,0.955,114,18,19,54,53,32,良,70.8065,5,2015-12
13,51,防城港,0.971,83,25,21,58,52,35,良,73.9677,5,2016-01
14,64,防城港,0.862,145,21,17,66,64,45,良,128.1034,5,2016-02
15,58,防城港,0.903,88,28,24,64,62,38,良,89.8710,6,2016-03
16,50,防城港,0.87,74,33,20,55,52,29,优,66.3000,8,2016-04
17,42,防城港,0.971,79,24,16,59,43,20,优,39.8065,13,2016-05
18,33,防城港,0.887,46,21,14,60,29,15,优,32.2667,13,2016-06
19,28,防城港,0.803,44,18,11,47,24,12,优,24.7097,8,2016-07
20,38,防城港,0.748,73,22,14,73,30,19,优,57.1935,7,2016-08
21,50,防城港,0.98,95,20,15,90,43,29,良,116.3333,9,2016-09
22,54,防城港,0.919,86,23,15,93,49,33,良,161.4839,11,2016-10
23,43,防城港,0.777,75,15,17,65,41,25,优,47.3000,12,2016-11
24,68,防城港,0.865,97,35,21,91,69,47,良,100.5161,16,2016-12
25,68,防城港,1.019,145,21,18,77,64,49,良,117.3548,14,2017-01
26,61,防城港,0.804,109,38,15,83,54,42,良,113.0000,13,2017-02
27,47,防城港,0.8,83,18,20,54,48,31,优,104.2258,10,2017-03
28,51,防城港,0.667,103,30,19,86,42,26,良,67.5333,10,2017-04
29,49,防城港,0.777,110,25,15,89,36,22,优,70.1290,10,2017-05
30,32,防城港,0.72,48,20,14,60,26,13,优,45.2000,9,2017-06
31,32,防城港,0.803,70,21,14,61,26,15,优,59.3548,11,2017-07
32,36,防城港,0.803,75,23,14,66,30,15,优,92.9677,11,2017-08
33,44,防城港,0.94,75,25,16,79,36,21,优,83.1000,12,2017-09
34,69,防城港,1.013,185,31,19,116,53,36,良,144.1290,13,2017-10
35,66,防城港,0.983,140,23,24,96,60,42,良,115.4667,13,2017-11
36,78,防城港,1.026,139,27,30,57,71,54,良,135.0323,14,2017-12
37,73,防城港,1.119,152,25,28,87,69,51,良,138.6774,13,2018-01
38,74,防城港,0.971,219,25,22,89,74,53,良,150.0357,12,2018-02
39,58,防城港,0.848,105,33,22,91,55,32,良,105.6774,13,2018-03
40,55,防城港,0.813,101,30,18,87,58,30,良,96.2333,12,2018-04
41,35,防城港,0.752,70,22,13,65,30,17,优,41.2258,11,2018-05
42,42,防城港,0.863,78,23,13,77,34,19,优,55.3667,10,2018-06
43,32,防城港,0.981,50,20,15,56,27,15,优,60.5806,11,2018-07
44,43,防城港,1.01,82,24,15,80,34,21,优,95.7419,10,2018-08
45,40,防城港,0.857,72,20,14,72,36,22,优,114.9000,8,2018-09
46,58,防城港,1.039,106,25,19,94,52,32,良,134.4194,9,2018-10
47,55,防城港,0.973,95,28,22,80,53,35,良,130.2333,9,2018-11
48,42,防城港,1.0,83,20,22,50,39,26,优,67.0968,8,2018-12
49,34,防城港,0.925,39,30,19,38,29,22,优,35.2500,6,2019-01
