index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,81,阿克苏地区,0.9,81,81,62,46,112,34,良,159.0000,54,2014-12
1,81,阿克苏地区,1.177,102,52,46,44,111,39,良,139.2903,36,2015-01
2,76,阿克苏地区,0.583,137,39,23,53,105,36,良,129.6250,28,2015-02
3,254,阿克苏地区,0.781,461,121,34,139,364,105,重度污染,350.3077,24,2015-03
4,220,阿克苏地区,0.708,384,94,23,104,272,146,重度污染,345.2400,15,2015-04
5,148,阿克苏地区,0.452,500,54,16,73,197,77,轻度污染,269.6452,12,2015-05
6,120,阿克苏地区,0.397,473,57,17,99,169,51,轻度污染,281.8333,9,2015-06
7,134,阿克苏地区,0.542,228,72,22,151,210,69,轻度污染,339.7419,8,2015-07
8,162,阿克苏地区,1.094,500,53,24,128,211,75,中度污染,320.2258,7,2015-08
9,84,阿克苏地区,0.842,141,52,24,115,101,37,良,270.5000,5,2015-09
10,115,阿克苏地区,0.833,233,63,46,100,162,71,轻度污染,280.4444,15,2015-10
11,112,阿克苏地区,1.71,149,77,54,89,143,80,轻度污染,299.4667,31,2015-11
12,112,阿克苏地区,2.052,172,46,58,71,105,84,轻度污染,229.1290,38,2015-12
13,126,阿克苏地区,2.226,195,95,56,73,143,88,轻度污染,282.0323,34,2016-01
14,171,阿克苏地区,2.09,500,66,40,80,256,96,中度污染,277.6207,23,2016-02
15,257,阿克苏地区,1.381,500,70,37,98,686,139,重度污染,309.9032,16,2016-03
16,140,阿克苏地区,0.62,498,84,29,142,202,68,轻度污染,317.5667,9,2016-04
17,229,阿克苏地区,0.439,500,94,26,153,316,134,重度污染,338.6452,7,2016-05
18,132,阿克苏地区,0.36,295,84,31,171,175,75,轻度污染,338.8333,7,2016-06
19,104,阿克苏地区,0.335,185,70,23,129,137,66,轻度污染,311.7419,6,2016-07
20,93,阿克苏地区,0.397,142,65,24,118,112,63,良,294.0968,4,2016-08
21,93,阿克苏地区,0.377,325,59,23,102,130,41,良,263.3667,4,2016-09
22,153,阿克苏地区,0.661,500,52,37,83,240,69,中度污染,348.4839,9,2016-10
23,161,阿克苏地区,1.62,255,109,55,57,261,105,中度污染,330.3000,23,2016-11
24,192,阿克苏地区,2.481,298,99,57,39,247,148,中度污染,324.5484,23,2016-12
25,146,阿克苏地区,2.465,204,107,48,54,168,111,轻度污染,286.6774,24,2017-01
26,188,阿克苏地区,1.814,500,53,37,71,90,43,中度污染,273.0000,19,2017-02
27,221,阿克苏地区,1.161,500,67,33,98,19,7,重度污染,311.4839,14,2017-03
28,140,阿克苏地区,0.613,500,66,21,122,52,17,轻度污染,302.7000,8,2017-04
29,141,阿克苏地区,0.684,500,61,23,132,46,21,轻度污染,298.1935,8,2017-05
30,84,阿克苏地区,0.597,117,61,18,131,80,31,良,260.0667,7,2017-06
31,83,阿克苏地区,0.681,112,60,18,134,91,30,良,284.6774,6,2017-07
32,76,阿克苏地区,0.881,114,50,20,125,77,28,良,277.7097,4,2017-08
33,103,阿克苏地区,0.953,297,61,31,113,85,27,轻度污染,307.3000,6,2017-09
34,153,阿克苏地区,0.958,325,82,35,76,54,17,中度污染,324.4839,8,2017-10
35,123,阿克苏地区,1.617,182,76,55,61,109,47,轻度污染,312.5667,14,2017-11
36,143,阿克苏地区,2.535,418,65,56,31,165,84,轻度污染,267.5806,17,2017-12
37,127,阿克苏地区,1.861,194,0,44,66,208,71,轻度污染,259.8065,13,2018-01
38,102,阿克苏地区,1.45,149,0,31,87,158,56,轻度污染,246.9286,11,2018-02
39,15,阿克苏地区,1.045,185,0,34,95,24,7,优,47.8387,10,2018-03
40,39,阿克苏地区,0.587,159,0,25,111,60,20,优,120.4333,7,2018-04
41,46,阿克苏地区,0.442,278,0,19,124,47,17,优,125.0968,6,2018-05
42,129,阿克苏地区,0.493,500,59,14,132,54,24,轻度污染,217.8667,5,2018-06
43,92,阿克苏地区,0.458,158,67,17,137,76,33,良,301.5161,5,2018-07
44,76,阿克苏地区,0.61,128,49,18,117,85,39,良,280.1290,6,2018-08
45,95,阿克苏地区,0.527,188,45,23,86,114,37,良,297.8333,6,2018-09
46,91,阿克苏地区,0.777,125,44,39,80,132,41,良,315.2581,7,2018-10
47,117,阿克苏地区,1.25,235,52,40,60,171,75,轻度污染,297.8000,9,2018-11
48,194,阿克苏地区,1.316,500,104,41,55,314,86,中度污染,343.4839,11,2018-12
49,169,阿克苏地区,1.675,176,159,44,45,287,88,中度污染,300.5000,12,2019-01
