index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,42,阿勒泰地区,2.0,42,42,28,83,30,15,优,23.0000,30,2014-12
1,43,阿勒泰地区,2.01,66,32,27,73,30,20,优,34.8387,54,2015-01
2,46,阿勒泰地区,1.293,53,37,17,90,28,16,优,47.8214,33,2015-02
3,49,阿勒泰地区,0.906,86,38,11,94,23,13,优,70.7097,24,2015-03
4,52,阿勒泰地区,0.743,73,40,7,100,30,12,良,76.1667,11,2015-04
5,44,阿勒泰地区,1.19,55,35,6,87,28,9,优,47.9677,9,2015-05
6,60,阿勒泰地区,0.883,75,44,7,111,27,9,良,169.2000,13,2015-06
7,65,阿勒泰地区,0.91,93,45,10,118,30,11,良,183.4516,12,2015-07
8,57,阿勒泰地区,0.684,76,39,16,105,37,11,良,151.1935,15,2015-08
9,48,阿勒泰地区,1.473,67,26,15,75,25,9,优,103.5333,6,2015-09
10,36,阿勒泰地区,0.858,44,25,21,66,25,12,优,31.6452,6,2015-10
11,35,阿勒泰地区,1.04,64,22,18,58,17,13,优,29.1000,12,2015-11
12,50,阿勒泰地区,1.297,73,22,39,52,21,20,良,68.1935,25,2015-12
13,53,阿勒泰地区,1.332,90,34,42,56,24,23,良,82.4194,29,2016-01
14,48,阿勒泰地区,0.962,78,33,36,60,27,20,优,57.1379,28,2016-02
15,41,阿勒泰地区,0.8,59,28,24,73,20,13,优,27.7742,13,2016-03
16,52,阿勒泰地区,0.453,92,39,13,99,15,7,良,83.7000,5,2016-04
17,52,阿勒泰地区,0.345,72,38,13,100,19,8,良,84.1935,3,2016-05
18,53,阿勒泰地区,0.47,76,41,12,101,15,8,良,127.5333,8,2016-06
19,49,阿勒泰地区,0.571,56,36,10,96,15,8,优,129.0968,4,2016-07
20,50,阿勒泰地区,0.568,67,31,9,96,27,8,优,120.4194,5,2016-08
21,12,阿勒泰地区,0.12,55,0,5,23,11,3,优,22.7667,2,2016-09
22,24,阿勒泰地区,0.5,51,0,14,40,17,8,优,26.9032,7,2016-10
23,39,阿勒泰地区,1.083,70,19,26,46,27,21,优,50.1000,23,2016-11
24,53,阿勒泰地区,1.371,82,30,39,56,29,25,良,76.0968,34,2016-12
25,53,阿勒泰地区,1.597,97,30,39,58,28,28,良,80.4516,51,2017-01
26,45,阿勒泰地区,1.504,67,32,33,69,28,21,优,62.4286,35,2017-02
27,53,阿勒泰地区,1.029,80,38,27,87,40,28,良,90.6129,26,2017-03
28,49,阿勒泰地区,0.527,81,26,6,96,21,9,优,32.8333,6,2017-04
29,60,阿勒泰地区,0.603,98,37,8,107,35,10,良,106.6452,5,2017-05
30,55,阿勒泰地区,0.487,65,40,11,106,21,8,良,112.7333,3,2017-06
31,52,阿勒泰地区,0.384,79,39,6,102,19,8,良,108.9032,4,2017-07
32,47,阿勒泰地区,0.484,62,30,12,93,20,8,优,104.4194,4,2017-08
33,35,阿勒泰地区,0.55,48,23,13,70,22,8,优,78.5000,3,2017-09
34,40,阿勒泰地区,0.439,54,0,14,80,20,8,优,50.3871,3,2017-10
35,40,阿勒泰地区,0.643,50,32,23,75,21,14,优,40.5333,6,2017-11
36,48,阿勒泰地区,0.881,84,20,32,58,29,20,优,44.0323,12,2017-12
37,48,阿勒泰地区,0.865,60,35,35,70,26,23,优,74.5806,19,2018-01
38,45,阿勒泰地区,0.543,65,0,29,91,17,15,优,64.0357,20,2018-02
39,58,阿勒泰地区,0.565,80,0,14,110,14,8,良,120.8387,7,2018-03
40,64,阿勒泰地区,0.52,87,0,7,115,16,6,良,152.4667,3,2018-04
41,61,阿勒泰地区,0.648,90,0,7,110,20,6,良,150.4194,2,2018-05
42,62,阿勒泰地区,0.563,89,48,8,114,21,5,良,117.3667,6,2018-06
43,53,阿勒泰地区,0.584,75,38,10,101,16,5,良,139.8710,8,2018-07
44,45,阿勒泰地区,0.529,58,0,2,88,7,5,优,47.5484,5,2018-08
45,33,阿勒泰地区,0.817,42,22,9,65,15,5,优,102.2333,6,2018-09
46,29,阿勒泰地区,0.8,44,0,11,53,20,6,优,62.6452,9,2018-10
47,28,阿勒泰地区,0.983,40,20,16,44,16,8,优,18.0667,10,2018-11
48,29,阿勒泰地区,1.035,43,0,14,44,17,11,优,26.4194,11,2018-12
49,34,阿勒泰地区,1.125,46,22,9,65,17,13,优,40.5000,9,2019-01
