index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,53,阿坝州,1.0,53,53,23,69,55,33,良,57.0000,3,2014-12
1,32,阿坝州,0.545,38,24,14,53,27,20,优,9.9355,4,2015-01
2,32,阿坝州,0.311,53,23,9,52,30,16,优,15.8214,9,2015-02
3,33,阿坝州,0.34,57,27,7,61,28,14,优,14.8667,8,2015-03
4,40,阿坝州,0.437,53,33,7,76,34,16,优,26.0667,7,2015-04
5,37,阿坝州,0.313,54,28,11,72,29,17,优,26.0968,9,2015-05
6,35,阿坝州,0.39,49,21,9,58,28,22,优,43.3000,11,2015-06
7,42,阿坝州,0.371,62,25,8,78,29,19,优,68.6774,6,2015-07
8,44,阿坝州,0.407,65,35,8,70,39,26,优,79.0714,5,2015-08
9,44,阿坝州,0.521,53,29,6,55,41,27,优,81.7083,5,2015-09
10,39,阿坝州,0.38,78,29,11,67,37,19,优,40.0000,7,2015-10
11,37,阿坝州,0.314,50,29,16,69,31,15,优,41.3103,8,2015-11
12,43,阿坝州,0.371,52,32,18,66,41,19,优,43.4643,6,2015-12
13,41,阿坝州,0.71,58,32,18,74,38,23,优,40.9032,8,2016-01
14,49,阿坝州,1.024,73,35,12,88,42,22,优,70.0690,8,2016-02
15,53,阿坝州,0.819,62,35,14,100,39,21,良,69.5484,6,2016-03
16,62,阿坝州,0.6,87,46,12,113,37,19,良,134.0690,8,2016-04
17,58,阿坝州,0.671,82,43,11,108,33,17,良,120.0645,7,2016-05
18,53,阿坝州,0.567,95,26,10,97,31,18,良,123.7000,6,2016-06
19,46,阿坝州,0.552,77,25,9,86,26,15,优,112.0968,8,2016-07
20,50,阿坝州,0.874,70,24,11,94,31,16,优,128.7097,13,2016-08
21,35,阿坝州,0.773,60,22,10,65,22,11,优,35.7000,12,2016-09
22,36,阿坝州,0.442,47,20,13,64,31,15,优,59.0000,12,2016-10
23,47,阿坝州,0.533,58,29,17,62,48,22,优,69.8667,14,2016-11
24,50,阿坝州,0.726,78,32,20,62,53,26,良,50.4194,15,2016-12
25,42,阿坝州,0.655,50,34,14,84,26,14,优,33.5806,11,2017-01
26,47,阿坝州,0.529,57,41,7,94,27,14,优,50.2500,7,2017-02
27,63,阿坝州,0.487,82,48,8,115,30,15,良,57.3226,7,2017-03
28,56,阿坝州,0.503,72,41,8,106,27,13,良,55.1000,8,2017-04
29,57,阿坝州,0.552,86,30,7,106,22,12,良,43.5806,8,2017-05
30,43,阿坝州,0.567,100,25,7,83,13,7,优,27.1333,7,2017-06
31,50,阿坝州,0.558,81,19,8,94,14,5,优,38.6129,7,2017-07
32,39,阿坝州,0.542,67,25,8,77,12,5,优,32.0645,7,2017-08
33,32,阿坝州,0.547,47,19,7,64,13,5,优,25.8333,7,2017-09
34,31,阿坝州,0.477,40,18,9,61,20,7,优,65.0323,7,2017-10
35,37,阿坝州,0.623,45,21,12,72,30,17,优,44.1333,12,2017-11
36,42,阿坝州,0.71,84,22,17,39,45,26,优,53.7097,15,2017-12
37,46,阿坝州,0.632,99,34,14,83,40,21,优,61.7419,13,2018-01
38,52,阿坝州,0.589,74,41,7,98,32,15,良,71.7143,9,2018-02
39,56,阿坝州,0.416,76,46,7,107,17,9,良,103.0968,7,2018-03
40,67,阿坝州,0.453,100,0,8,122,18,8,良,152.8000,8,2018-04
41,56,阿坝州,0.442,84,0,8,104,21,7,良,121.3226,7,2018-05
42,47,阿坝州,0.527,75,26,7,88,22,9,优,69.3333,7,2018-06
43,35,阿坝州,0.539,50,25,6,69,23,12,优,54.5161,7,2018-07
44,44,阿坝州,0.523,77,20,6,85,18,12,优,43.5806,7,2018-08
45,32,阿坝州,0.47,48,17,6,63,14,8,优,49.5000,6,2018-09
46,33,阿坝州,0.461,41,25,8,66,15,9,优,19.0968,7,2018-10
47,34,阿坝州,0.54,54,23,13,64,29,19,优,35.5667,7,2018-11
48,40,阿坝州,0.777,72,30,18,63,38,24,优,65.9032,8,2018-12
49,36,阿坝州,0.875,39,34,15,69,33,23,优,46.5000,9,2019-01
