index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,54,阿拉善盟,1.8,54,54,18,73,59,36,良,58.0000,20,2014-12
1,66,阿拉善盟,1.203,112,43,17,79,78,39,良,96.6774,24,2015-01
2,82,阿拉善盟,0.786,146,46,10,93,108,40,良,167.3214,14,2015-02
3,89,阿拉善盟,0.861,316,52,9,111,121,35,良,205.6774,11,2015-03
4,82,阿拉善盟,1.67,212,53,8,113,104,39,良,186.4667,7,2015-04
5,85,阿拉善盟,0.761,183,55,6,119,99,37,良,210.7742,4,2015-05
6,96,阿拉善盟,0.793,124,60,6,143,92,40,良,286.5667,6,2015-06
7,88,阿拉善盟,0.8,121,61,7,145,72,41,良,271.1290,4,2015-07
8,88,阿拉善盟,0.745,156,59,8,135,95,33,良,274.1935,6,2015-08
9,71,阿拉善盟,0.743,113,48,21,117,61,35,良,226.0333,5,2015-09
10,63,阿拉善盟,0.71,100,42,17,103,66,31,良,135.4516,8,2015-10
11,61,阿拉善盟,0.853,82,32,19,82,68,38,良,157.4667,11,2015-11
12,59,阿拉善盟,0.613,159,37,21,86,63,36,良,89.4194,15,2015-12
13,52,阿拉善盟,0.619,75,38,14,85,49,30,良,80.3548,20,2016-01
14,69,阿拉善盟,0.666,152,43,11,96,82,33,良,141.5862,16,2016-02
15,89,阿拉善盟,0.639,181,47,11,114,118,44,良,185.7419,11,2016-03
16,77,阿拉善盟,0.47,106,56,9,130,62,27,良,214.5000,7,2016-04
17,100,阿拉善盟,0.4,380,52,8,137,96,37,良,256.1613,6,2016-05
18,88,阿拉善盟,0.463,139,39,8,137,62,26,良,264.8333,7,2016-06
19,93,阿拉善盟,0.571,122,59,9,148,56,29,良,297.5806,7,2016-07
20,78,阿拉善盟,0.652,130,46,10,131,51,31,良,245.3226,8,2016-08
21,71,阿拉善盟,0.537,84,52,10,123,43,26,良,212.6667,8,2016-09
22,68,阿拉善盟,0.506,121,49,11,111,72,30,良,231.5806,12,2016-10
23,71,阿拉善盟,0.627,152,40,14,99,86,30,良,156.9333,18,2016-11
24,61,阿拉善盟,0.79,122,45,20,94,67,36,良,84.2258,20,2016-12
25,67,阿拉善盟,0.742,195,41,17,90,82,34,良,112.1935,21,2017-01
26,71,阿拉善盟,0.707,195,47,12,101,71,37,良,133.2500,19,2017-02
27,68,阿拉善盟,0.765,152,50,11,112,61,38,良,136.5484,11,2017-03
28,85,阿拉善盟,0.653,208,46,10,126,62,30,良,132.9333,10,2017-04
29,129,阿拉善盟,0.526,500,63,8,138,94,41,轻度污染,172.1290,9,2017-05
30,99,阿拉善盟,0.46,136,65,9,155,75,40,良,224.2667,7,2017-06
31,91,阿拉善盟,0.474,144,55,9,149,67,34,良,218.6129,9,2017-07
32,83,阿拉善盟,0.529,130,55,9,139,53,21,良,196.7419,10,2017-08
33,73,阿拉善盟,0.5,100,50,9,127,56,27,良,167.8000,10,2017-09
34,61,阿拉善盟,0.597,91,44,13,104,65,34,良,175.3226,9,2017-10
35,60,阿拉善盟,0.713,99,44,14,95,67,32,良,111.4000,11,2017-11
36,53,阿拉善盟,0.677,87,30,15,54,55,34,良,91.4839,12,2017-12
37,66,阿拉善盟,0.768,109,43,16,84,73,42,良,131.6774,14,2018-01
38,54,阿拉善盟,0.6,94,0,10,99,53,29,良,92.1429,12,2018-02
39,62,阿拉善盟,0.529,158,0,10,115,72,31,良,141.8710,11,2018-03
40,54,阿拉善盟,0.58,125,0,9,123,54,21,良,143.2667,10,2018-04
41,69,阿拉善盟,0.465,125,0,8,144,62,24,良,191.8065,8,2018-05
42,106,阿拉善盟,0.52,350,65,8,154,59,26,轻度污染,221.5333,9,2018-06
43,107,阿拉善盟,0.661,275,73,8,159,64,32,轻度污染,290.7419,8,2018-07
44,87,阿拉善盟,0.665,120,59,8,144,58,33,良,240.0000,9,2018-08
45,64,阿拉善盟,0.567,83,43,8,115,46,26,良,198.9333,9,2018-09
46,64,阿拉善盟,0.597,110,43,12,109,49,28,良,114.4194,10,2018-10
47,70,阿拉善盟,0.573,412,40,13,88,82,30,良,153.4000,10,2018-11
48,75,阿拉善盟,0.752,500,36,16,78,94,37,良,161.4516,12,2018-12
49,88,阿拉善盟,1.075,117,64,25,77,86,65,良,179.0000,19,2019-01
