index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,38,阿里地区,0.4,38,38,5,76,29,20,优,15.0000,10,2014-12
1,41,阿里地区,1.106,59,34,15,78,32,23,优,26.9677,16,2015-01
2,47,阿里地区,1.921,79,35,11,83,42,19,优,60.8214,16,2015-02
3,50,阿里地区,2.748,84,40,9,95,33,13,优,73.4516,17,2015-03
4,64,阿里地区,2.69,79,44,7,116,31,22,良,132.9667,13,2015-04
5,45,阿里地区,1.468,68,32,5,88,27,16,优,58.2903,10,2015-05
6,43,阿里地区,0.437,53,33,4,84,27,13,优,81.7667,11,2015-06
7,41,阿里地区,0.352,73,22,5,62,39,20,优,72.0645,13,2015-07
8,30,阿里地区,0.294,46,20,4,54,21,12,优,26.0323,13,2015-08
9,29,阿里地区,0.32,43,18,7,56,18,14,优,15.5000,10,2015-09
10,32,阿里地区,0.384,46,22,10,39,29,21,优,19.7097,8,2015-10
11,41,阿里地区,0.657,70,21,16,38,40,23,优,60.7333,14,2015-11
12,50,阿里地区,0.903,74,22,29,38,50,26,优,77.0000,25,2015-12
13,46,阿里地区,0.935,90,30,20,33,44,26,优,55.0323,24,2016-01
14,36,阿里地区,0.752,52,20,12,38,34,21,优,25.4828,17,2016-02
15,34,阿里地区,0.629,53,20,12,38,33,19,优,21.5484,16,2016-03
16,34,阿里地区,0.45,63,18,9,44,34,18,优,20.1333,10,2016-04
17,38,阿里地区,0.6,51,26,11,52,36,19,优,30.1935,8,2016-05
18,45,阿里地区,0.523,75,25,10,55,45,18,优,86.6000,6,2016-06
19,31,阿里地区,0.316,69,15,9,46,27,17,优,46.1613,7,2016-07
20,37,阿里地区,0.277,100,17,27,36,20,11,优,54.5484,7,2016-08
21,37,阿里地区,0.357,56,29,8,62,32,18,优,43.5667,7,2016-09
22,45,阿里地区,0.484,68,27,13,51,48,20,优,112.0968,10,2016-10
23,51,阿里地区,0.787,68,36,28,83,50,21,良,96.4333,34,2016-11
24,51,阿里地区,0.813,66,37,25,83,48,21,良,50.7742,36,2016-12
25,46,阿里地区,0.687,53,39,19,91,29,15,优,50.6129,25,2017-01
26,49,阿里地区,0.639,70,41,18,96,28,14,优,39.6071,22,2017-02
27,50,阿里地区,0.606,66,39,16,98,28,16,良,31.8387,15,2017-03
28,61,阿里地区,0.693,102,39,12,113,34,16,良,57.7333,11,2017-04
29,72,阿里地区,0.474,103,53,16,127,39,12,良,65.4839,9,2017-05
30,85,阿里地区,0.46,125,43,11,143,23,9,良,136.3333,7,2017-06
31,58,阿里地区,0.265,98,38,10,109,13,5,良,85.9355,7,2017-07
32,65,阿里地区,0.245,91,31,9,117,12,6,良,98.0645,6,2017-08
33,72,阿里地区,0.493,117,38,15,126,15,6,良,78.9667,4,2017-09
34,56,阿里地区,0.484,75,41,20,106,30,11,良,91.4516,13,2017-10
35,44,阿里地区,0.623,60,39,26,83,32,16,优,50.6667,19,2017-11
36,50,阿里地区,0.677,119,22,22,40,41,22,良,63.9032,19,2017-12
37,42,阿里地区,0.594,86,0,20,78,45,23,优,65.5484,18,2018-01
38,42,阿里地区,0.525,75,32,15,76,38,17,优,36.6429,18,2018-02
39,47,阿里地区,0.529,74,33,17,85,39,16,优,54.7742,19,2018-03
40,54,阿里地区,0.503,72,0,13,96,51,16,良,107.6333,10,2018-04
41,70,阿里地区,0.561,95,49,13,119,65,22,良,174.1613,8,2018-05
42,87,阿里地区,0.653,137,46,12,142,43,18,良,183.6000,5,2018-06
43,68,阿里地区,0.6,109,36,11,120,21,11,良,202.8065,8,2018-07
44,59,阿里地区,0.377,83,44,8,109,17,8,良,88.8710,5,2018-08
45,51,阿里地区,0.487,62,37,5,99,11,5,良,85.3000,4,2018-09
46,45,阿里地区,0.545,64,33,11,89,20,9,优,36.3871,7,2018-10
47,37,阿里地区,0.647,45,28,18,71,25,10,优,53.9000,13,2018-11
48,39,阿里地区,0.671,46,32,27,72,22,10,优,52.4839,17,2018-12
49,42,阿里地区,0.55,49,39,27,75,19,10,优,51.2500,16,2019-01
