index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,97,鞍山,2.4,97,97,33,34,144,43,良,49.0000,59,2013-12
1,99,鞍山,2.858,213,53,30,45,119,69,良,64.8710,83,2014-01
2,142,鞍山,3.511,323,58,35,60,172,107,轻度污染,137.3571,115,2014-02
3,112,鞍山,1.861,273,54,40,91,142,82,轻度污染,115.0323,78,2014-03
4,105,鞍山,1.42,195,71,39,121,147,71,轻度污染,133.1000,41,2014-04
5,86,鞍山,1.342,195,45,30,125,103,51,良,89.3871,21,2014-05
6,88,鞍山,1.96,185,51,28,113,96,59,良,105.5333,18,2014-06
7,87,鞍山,1.632,174,52,21,122,89,56,良,110.9677,15,2014-07
8,87,鞍山,1.471,171,41,25,127,93,53,良,124.8387,22,2014-08
9,74,鞍山,1.39,133,51,38,97,90,43,良,117.5333,24,2014-09
10,116,鞍山,1.657,266,58,41,89,142,85,轻度污染,120.1000,36,2014-10
11,127,鞍山,1.837,402,57,45,50,149,95,轻度污染,124.0000,74,2014-11
12,92,鞍山,1.832,258,54,38,36,104,64,良,93.7419,85,2014-12
13,120,鞍山,2.006,328,53,52,35,131,90,轻度污染,201.8387,106,2015-01
14,116,鞍山,1.689,313,49,47,50,134,85,轻度污染,219.8889,84,2015-02
15,96,鞍山,1.458,165,53,37,77,122,66,良,243.7742,52,2015-03
16,89,鞍山,1.803,129,56,32,96,108,58,良,244.7667,28,2015-04
17,89,鞍山,1.184,158,40,28,135,84,41,良,227.0645,22,2015-05
18,81,鞍山,1.077,128,47,24,134,69,43,良,243.2000,14,2015-06
19,78,鞍山,1.332,135,36,25,127,67,42,良,227.2903,16,2015-07
20,81,鞍山,1.506,154,38,24,128,70,46,良,237.4194,16,2015-08
21,77,鞍山,1.34,112,42,34,108,81,44,良,251.1333,23,2015-09
22,88,鞍山,1.4,242,41,40,78,103,60,良,206.6129,28,2015-10
23,169,鞍山,2.003,500,57,55,44,188,145,中度污染,316.8667,79,2015-11
24,138,鞍山,2.103,329,51,46,38,152,105,轻度污染,236.9677,98,2015-12
25,108,鞍山,1.855,247,52,47,41,125,79,轻度污染,239.6774,98,2016-01
26,82,鞍山,1.552,214,57,37,56,96,55,良,199.8276,75,2016-02
27,97,鞍山,1.242,191,51,37,88,127,65,良,226.1613,54,2016-03
28,85,鞍山,1.063,158,54,31,104,108,50,良,230.2333,25,2016-04
29,80,鞍山,1.371,120,41,32,125,78,41,良,208.1935,23,2016-05
30,73,鞍山,1.217,129,40,25,120,62,42,良,212.5667,15,2016-06
31,73,鞍山,1.1,107,32,21,117,57,41,良,226.1935,8,2016-07
32,64,鞍山,1.326,93,30,28,103,59,38,良,199.7419,10,2016-08
33,64,鞍山,1.167,108,29,28,96,62,42,良,169.5333,14,2016-09
34,80,鞍山,1.303,251,43,38,67,90,57,良,244.1290,23,2016-10
35,102,鞍山,1.353,271,51,43,50,114,75,轻度污染,236.3000,60,2016-11
36,109,鞍山,1.565,273,53,43,46,130,79,轻度污染,194.4516,67,2016-12
37,120,鞍山,1.942,248,58,53,51,145,87,轻度污染,223.5484,77,2017-01
38,95,鞍山,1.511,195,46,41,73,116,68,良,197.5357,54,2017-02
39,102,鞍山,1.542,178,53,48,108,127,75,轻度污染,257.4194,52,2017-03
40,80,鞍山,1.16,140,47,34,121,94,43,良,203.6667,20,2017-04
41,96,鞍山,1.01,182,48,24,143,71,30,良,188.1613,12,2017-05
42,101,鞍山,1.307,203,52,29,157,68,37,轻度污染,220.3667,16,2017-06
43,92,鞍山,1.255,197,53,27,146,50,31,良,180.4839,10,2017-07
44,60,鞍山,1.374,126,33,25,106,39,22,良,140.6129,9,2017-08
45,69,鞍山,1.343,113,42,32,117,55,32,良,160.5667,13,2017-09
46,72,鞍山,1.439,128,33,37,80,78,46,良,197.2581,17,2017-10
47,61,鞍山,1.29,118,40,34,58,69,38,良,125.8667,36,2017-11
48,98,鞍山,2.006,230,43,45,29,102,62,良,151.7742,50,2017-12
49,72,鞍山,1.661,122,48,44,51,83,48,良,145.5806,46,2018-01
50,86,鞍山,1.654,152,57,41,67,99,60,良,192.8929,44,2018-02
51,84,鞍山,1.429,156,45,40,94,96,58,良,211.6129,31,2018-03
52,81,鞍山,1.287,120,55,30,111,95,43,良,201.1333,17,2018-04
53,82,鞍山,1.187,134,45,28,132,80,35,良,208.6774,13,2018-05
54,98,鞍山,1.097,205,47,23,155,59,32,良,221.6333,11,2018-06
55,67,鞍山,1.168,145,26,20,111,44,26,良,160.7097,7,2018-07
56,73,鞍山,1.413,148,21,31,116,58,30,良,214.6452,11,2018-08
57,54,鞍山,1.203,84,35,28,87,53,25,良,209.2333,13,2018-09
58,63,鞍山,1.226,103,34,33,74,73,36,良,174.9677,16,2018-10
59,80,鞍山,1.457,189,48,42,50,94,53,良,219.8333,24,2018-11
60,71,鞍山,1.326,144,44,36,47,81,43,良,187.4194,26,2018-12
61,87,鞍山,1.975,107,78,45,45,109,63,良,194.0000,32,2019-01
