index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,147,马鞍山,2.9,147,147,43,63,209,113,轻度污染,139.0000,43,2013-12
1,175,马鞍山,2.342,461,59,44,45,191,139,中度污染,122.0645,36,2014-01
2,95,马鞍山,1.432,243,20,28,48,100,71,良,88.1786,27,2014-02
3,93,马鞍山,1.183,151,56,34,67,107,69,良,98.9333,27,2014-03
4,78,马鞍山,1.033,119,44,25,64,93,55,良,81.3667,20,2014-04
5,117,马鞍山,1.39,295,59,28,87,163,83,轻度污染,131.7419,28,2014-05
6,103,马鞍山,1.54,180,37,22,96,115,76,轻度污染,124.3667,27,2014-06
7,78,马鞍山,1.171,135,32,15,65,86,55,良,96.2581,10,2014-07
8,67,马鞍山,1.055,112,38,18,56,75,46,良,88.9032,9,2014-08
9,70,马鞍山,1.053,116,37,27,89,74,46,良,101.7667,21,2014-09
10,86,马鞍山,1.142,152,54,42,69,105,60,良,93.2581,28,2014-10
11,80,马鞍山,1.483,150,37,42,42,76,58,良,76.8667,28,2014-11
12,76,马鞍山,1.177,120,36,46,32,83,54,良,69.4194,44,2014-12
13,136,马鞍山,1.8,266,48,47,34,133,103,轻度污染,250.4516,38,2015-01
14,97,马鞍山,1.393,205,30,32,46,95,72,良,186.1786,27,2015-02
15,75,马鞍山,1.068,186,36,32,51,73,54,良,171.2903,20,2015-03
16,73,马鞍山,1.17,105,39,38,67,84,51,良,175.3333,24,2015-04
17,76,马鞍山,1.152,131,51,33,91,82,54,良,184.1613,21,2015-05
18,71,马鞍山,1.13,139,32,29,104,70,45,良,200.2333,17,2015-06
19,66,马鞍山,1.158,130,38,27,104,61,41,良,178.9355,15,2015-07
20,75,马鞍山,1.348,155,28,23,124,69,42,良,208.9355,19,2015-08
21,71,马鞍山,1.477,104,48,22,118,70,41,良,225.7333,18,2015-09
22,94,马鞍山,1.61,228,36,35,101,110,68,良,249.8710,22,2015-10
23,80,马鞍山,1.63,163,31,35,49,81,58,良,213.8667,20,2015-11
24,130,马鞍山,1.926,258,63,45,40,133,97,轻度污染,253.2903,26,2015-12
25,103,马鞍山,1.858,210,43,40,46,107,75,轻度污染,211.6774,24,2016-01
26,87,马鞍山,1.803,166,41,33,68,88,62,良,203.2759,24,2016-02
27,101,马鞍山,1.368,200,30,43,66,104,74,轻度污染,220.4194,24,2016-03
28,69,马鞍山,1.1,119,42,33,103,77,47,良,162.4000,18,2016-04
29,82,马鞍山,1.106,169,43,30,118,77,47,良,207.2258,17,2016-05
30,68,马鞍山,1.04,111,34,25,114,50,35,良,186.7667,14,2016-06
31,73,马鞍山,0.974,142,24,22,114,53,34,良,221.4839,15,2016-07
32,92,马鞍山,0.965,187,34,24,146,58,30,良,280.9032,16,2016-08
33,85,马鞍山,0.98,152,25,26,134,63,37,良,226.8667,17,2016-09
34,50,马鞍山,1.026,100,26,30,66,46,28,良,133.7742,19,2016-10
35,70,马鞍山,1.257,120,33,46,55,79,47,良,157.8667,22,2016-11
36,99,马鞍山,1.581,159,42,53,53,114,72,良,189.3871,27,2016-12
37,93,马鞍山,1.429,210,38,43,57,98,67,良,174.3871,17,2017-01
38,97,马鞍山,1.489,140,45,43,82,98,73,良,211.7500,19,2017-02
39,84,马鞍山,1.11,130,55,49,88,87,61,良,210.3871,18,2017-03
40,90,马鞍山,1.063,141,52,46,127,93,49,良,231.1333,17,2017-04
41,116,马鞍山,1.013,194,46,32,173,65,38,轻度污染,197.3548,15,2017-05
42,103,马鞍山,0.92,177,28,24,158,60,38,轻度污染,216.6000,9,2017-06
43,89,马鞍山,0.913,204,24,24,141,58,28,良,176.9032,11,2017-07
44,73,马鞍山,1.042,170,31,22,124,53,25,良,202.0645,12,2017-08
45,78,马鞍山,1.193,150,36,30,119,63,31,良,167.0667,14,2017-09
46,70,马鞍山,1.123,132,34,41,103,75,38,良,183.4516,19,2017-10
47,90,马鞍山,1.177,140,43,54,76,113,62,良,212.7333,22,2017-11
48,124,马鞍山,1.455,287,50,63,29,129,88,轻度污染,205.1290,28,2017-12
49,124,马鞍山,1.339,265,35,53,57,107,92,轻度污染,217.4516,22,2018-01
50,96,马鞍山,1.046,206,32,45,76,89,65,良,217.0000,19,2018-02
51,74,马鞍山,1.084,123,40,44,101,79,49,良,179.2581,17,2018-03
52,90,马鞍山,1.027,173,0,41,136,102,43,良,230.0000,19,2018-04
53,77,马鞍山,0.9,134,0,34,130,67,33,良,198.5161,12,2018-05
54,113,马鞍山,0.843,184,45,26,170,62,32,轻度污染,248.8333,12,2018-06
55,79,马鞍山,0.81,130,30,20,131,51,25,良,215.8710,10,2018-07
56,82,马鞍山,0.939,140,33,18,134,47,25,良,161.2258,12,2018-08
57,72,马鞍山,0.993,130,26,32,120,59,28,良,221.5667,15,2018-09
58,74,马鞍山,1.0,159,43,38,115,69,36,良,191.2903,16,2018-10
59,75,马鞍山,1.24,185,33,44,69,76,49,良,181.8667,13,2018-11
60,75,马鞍山,1.145,156,33,44,41,78,50,良,182.2258,12,2018-12
61,103,马鞍山,1.1,135,73,51,36,88,77,轻度污染,231.5000,14,2019-01
