index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,55,鸡西,1.1,55,55,10,38,60,18,良,66.0000,19,2014-12
1,58,鸡西,1.729,150,20,18,41,74,25,良,67.3226,38,2015-01
2,53,鸡西,1.418,85,27,21,60,59,21,良,77.6786,50,2015-02
3,46,鸡西,1.49,100,18,19,64,50,18,优,62.8710,42,2015-03
4,67,鸡西,0.623,120,35,27,90,84,34,良,144.9333,26,2015-04
5,49,鸡西,0.406,121,28,16,76,53,21,优,74.8387,17,2015-05
6,49,鸡西,0.443,83,30,16,93,39,20,优,111.6667,11,2015-06
7,49,鸡西,0.51,77,29,18,87,43,21,优,101.0000,8,2015-07
8,39,鸡西,0.552,54,21,15,66,35,19,优,58.8387,10,2015-08
9,49,鸡西,0.563,77,24,19,66,54,21,优,115.3333,15,2015-09
10,59,鸡西,0.99,135,26,25,63,71,34,良,116.6129,26,2015-10
11,93,鸡西,1.647,316,24,30,57,100,68,良,178.0333,31,2015-11
12,53,鸡西,1.752,108,23,32,48,45,32,良,75.2258,32,2015-12
13,38,鸡西,0.952,76,27,24,55,31,21,优,27.1613,24,2016-01
14,51,鸡西,1.728,110,30,21,66,47,30,良,72.9655,25,2016-02
15,61,鸡西,1.439,132,32,17,67,71,35,良,94.2903,28,2016-03
16,46,鸡西,1.03,77,27,14,64,46,22,优,53.6333,25,2016-04
17,37,鸡西,0.819,60,24,15,62,35,16,优,28.2258,24,2016-05
18,35,鸡西,0.813,51,23,11,53,29,14,优,42.6000,29,2016-06
19,41,鸡西,0.842,66,23,19,77,32,13,优,91.9677,12,2016-07
20,41,鸡西,0.929,55,20,19,75,38,15,优,75.8387,13,2016-08
21,46,鸡西,0.763,79,26,21,64,48,17,优,86.1333,7,2016-09
22,57,鸡西,0.897,114,23,22,59,69,31,良,175.8065,10,2016-10
23,84,鸡西,1.16,186,32,27,57,86,61,良,186.4667,20,2016-11
24,88,鸡西,1.452,320,31,27,47,99,62,良,132.3871,29,2016-12
25,79,鸡西,1.5,202,30,24,54,96,55,良,141.6774,21,2017-01
26,64,鸡西,0.907,177,33,18,70,75,41,良,109.4643,13,2017-02
27,78,鸡西,0.881,248,33,20,78,86,55,良,179.2903,11,2017-03
28,69,鸡西,0.753,188,29,20,84,89,48,良,186.7333,11,2017-04
29,65,鸡西,0.513,252,33,17,86,68,27,良,179.7742,5,2017-05
30,48,鸡西,0.45,90,24,16,78,49,24,优,161.4000,4,2017-06
31,50,鸡西,0.329,71,37,16,76,53,27,良,192.2581,2,2017-07
32,43,鸡西,0.371,62,25,13,50,44,21,优,138.2903,3,2017-08
33,47,鸡西,0.43,69,29,16,55,51,21,优,137.8333,3,2017-09
34,85,鸡西,0.8,309,25,28,52,99,64,良,216.3548,6,2017-10
35,89,鸡西,0.843,252,28,26,45,94,66,良,164.4667,8,2017-11
36,87,鸡西,1.132,204,20,29,32,83,65,良,141.6452,16,2017-12
37,75,鸡西,0.871,233,25,27,52,70,54,良,119.2258,14,2018-01
38,83,鸡西,0.836,217,32,25,64,81,60,良,155.5000,15,2018-02
39,76,鸡西,0.748,206,0,26,82,72,54,良,152.8065,11,2018-03
40,68,鸡西,0.607,127,38,23,92,76,44,良,146.1667,5,2018-04
41,51,鸡西,0.474,81,34,20,90,50,21,良,93.0645,4,2018-05
42,43,鸡西,0.493,104,21,16,80,38,18,优,59.0333,3,2018-06
43,44,鸡西,0.555,70,20,17,75,40,20,优,115.5161,3,2018-07
44,37,鸡西,0.516,61,20,15,53,35,16,优,94.0968,3,2018-08
45,40,鸡西,0.53,57,20,16,49,40,16,优,117.9333,3,2018-09
46,45,鸡西,0.571,88,17,21,46,51,21,优,103.2258,5,2018-10
47,60,鸡西,0.777,122,19,26,40,70,36,良,158.7333,10,2018-11
48,61,鸡西,0.787,152,26,24,44,66,41,良,116.0968,12,2018-12
49,47,鸡西,0.6,68,31,18,52,50,32,优,103.5000,12,2019-01
