index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,74,鹤壁,0.0,95,43,38,0,98,0,良,,21,2013-05
1,97,鹤壁,0.0,183,42,33,0,143,0,良,,22,2013-06
2,82,鹤壁,0.0,124,50,35,0,114,0,良,,21,2013-07
3,67,鹤壁,0.0,145,38,30,0,79,0,良,,26,2013-08
4,61,鹤壁,0.0,96,37,36,0,72,0,良,,31,2013-09
5,80,鹤壁,0.0,134,51,37,0,110,0,良,,29,2013-10
6,222,鹤壁,1.613,500,15,24,33,162,15326,重度污染,,40,2013-11
7,254,鹤壁,4.461,500,13,50,49,126,233,重度污染,,83,2013-12
8,139,鹤壁,3.052,348,60,47,30,151,101,轻度污染,,101,2014-01
9,105,鹤壁,2.256,231,57,41,29,123,69,轻度污染,,90,2014-02
10,112,鹤壁,1.829,222,65,44,58,163,71,轻度污染,,68,2014-03
11,101,鹤壁,1.99,185,68,37,78,137,68,轻度污染,,73,2014-04
12,91,鹤壁,1.235,139,63,36,96,98,62,良,,50,2014-05
13,111,鹤壁,1.55,248,55,30,94,82,82,轻度污染,,62,2014-06
14,95,鹤壁,1.206,171,50,27,130,73,59,良,,31,2014-07
15,65,鹤壁,1.087,138,34,28,61,60,41,良,,27,2014-08
16,73,鹤壁,0.72,137,36,31,71,82,47,良,,27,2014-09
17,110,鹤壁,0.997,273,42,40,64,133,79,轻度污染,,37,2014-10
18,139,鹤壁,2.547,335,48,51,41,163,104,轻度污染,,61,2014-11
19,93,鹤壁,1.906,178,52,48,31,107,62,良,40.0000,70,2014-12
20,138,鹤壁,1.913,353,50,81,31,147,102,轻度污染,229.3226,82,2015-01
21,110,鹤壁,1.996,229,58,52,62,148,77,轻度污染,223.7857,62,2015-02
22,97,鹤壁,1.468,159,54,52,78,144,56,良,253.0968,51,2015-03
23,86,鹤壁,1.04,134,47,54,95,115,49,良,225.8000,43,2015-04
24,91,鹤壁,1.284,139,52,48,116,108,60,良,245.8065,41,2015-05
25,88,鹤壁,1.21,176,48,41,134,88,49,良,260.0000,34,2015-06
26,93,鹤壁,0.606,213,58,24,122,91,61,良,273.0968,17,2015-07
27,76,鹤壁,1.084,99,52,27,111,91,45,良,231.1613,19,2015-08
28,78,鹤壁,1.17,115,47,45,111,91,41,良,247.7000,27,2015-09
29,92,鹤壁,1.542,188,53,51,80,124,55,良,238.8387,41,2015-10
30,127,鹤壁,1.84,260,37,51,45,130,95,轻度污染,274.6667,50,2015-11
31,191,鹤壁,2.79,424,39,75,43,207,152,中度污染,279.3871,65,2015-12
32,157,鹤壁,2.89,431,60,79,36,186,116,中度污染,285.9677,79,2016-01
33,111,鹤壁,3.045,199,37,64,63,142,74,轻度污染,246.6552,63,2016-02
34,118,鹤壁,1.977,236,59,65,106,174,79,轻度污染,268.3226,63,2016-03
35,98,鹤壁,1.063,143,52,53,108,132,65,良,273.4667,44,2016-04
36,81,鹤壁,0.981,112,50,46,120,81,45,良,218.9032,30,2016-05
37,93,鹤壁,1.207,162,58,41,146,79,46,良,275.8000,24,2016-06
38,89,鹤壁,1.535,136,55,31,133,84,44,良,283.6774,20,2016-07
39,76,鹤壁,1.413,119,43,27,128,53,30,良,245.1935,27,2016-08
40,96,鹤壁,1.457,155,52,43,142,90,44,良,278.4000,33,2016-09
41,79,鹤壁,1.684,145,50,48,68,100,42,良,279.3871,26,2016-10
42,162,鹤壁,2.643,338,49,57,46,212,125,中度污染,324.0333,45,2016-11
43,205,鹤壁,3.642,462,95,69,37,231,164,重度污染,327.4839,60,2016-12
44,143,鹤壁,3.294,289,0,63,31,159,111,轻度污染,304.4839,61,2017-01
45,111,鹤壁,2.104,350,0,50,66,134,83,轻度污染,246.5714,47,2017-02
46,80,鹤壁,1.152,144,0,46,88,102,53,良,215.7419,29,2017-03
47,79,鹤壁,1.203,135,0,44,114,101,45,良,241.9000,29,2017-04
48,79,鹤壁,1.171,184,0,37,172,68,25,良,240.9355,28,2017-05
49,121,鹤壁,1.253,206,0,33,201,84,41,轻度污染,263.8000,21,2017-06
50,103,鹤壁,1.377,182,45,28,158,81,41,轻度污染,240.9677,16,2017-07
51,99,鹤壁,1.432,161,53,32,146,78,42,良,262.8710,23,2017-08
52,93,鹤壁,1.17,149,0,48,139,96,44,良,261.3333,20,2017-09
53,76,鹤壁,1.345,143,0,47,69,91,53,良,226.4839,15,2017-10
54,64,鹤壁,1.543,182,0,65,58,87,41,良,223.7333,20,2017-11
55,107,鹤壁,2.074,238,0,68,50,129,74,轻度污染,186.9032,26,2017-12
56,125,鹤壁,2.045,277,0,65,49,145,93,轻度污染,232.6129,29,2018-01
57,105,鹤壁,1.561,242,0,47,81,133,71,轻度污染,213.0714,22,2018-02
58,95,鹤壁,1.352,212,0,46,108,120,64,良,235.0968,18,2018-03
59,74,鹤壁,1.15,152,0,44,125,92,36,良,195.6000,19,2018-04
60,102,鹤壁,1.077,177,0,34,168,93,38,轻度污染,257.8710,20,2018-05
61,140,鹤壁,1.093,200,59,30,202,85,34,轻度污染,297.0667,18,2018-06
62,97,鹤壁,1.145,184,45,23,151,65,32,良,254.2258,15,2018-07
63,107,鹤壁,1.348,193,28,26,165,68,32,轻度污染,251.0968,16,2018-08
64,83,鹤壁,1.293,120,51,40,129,74,32,良,248.2667,15,2018-09
65,85,鹤壁,1.152,130,55,54,112,109,48,良,258.5484,16,2018-10
66,122,鹤壁,1.77,232,53,59,57,159,86,轻度污染,302.8333,19,2018-11
67,110,鹤壁,1.826,233,54,64,39,147,78,轻度污染,276.7742,24,2018-12
68,193,鹤壁,2.1,244,160,87,45,206,148,中度污染,309.0000,33,2019-01
