index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,174,鹤岗,2.3,174,174,49,54,181,132,中度污染,349.0000,12,2014-12
1,105,鹤岗,1.79,251,34,26,63,114,77,轻度污染,170.2258,12,2015-01
2,92,鹤岗,1.314,159,40,27,78,101,66,良,186.2500,12,2015-02
3,78,鹤岗,0.829,115,45,20,112,88,47,良,189.4839,8,2015-03
4,70,鹤岗,0.767,112,40,22,105,86,43,良,161.9333,9,2015-04
5,61,鹤岗,0.59,99,40,12,102,65,34,良,131.2903,6,2015-05
6,73,鹤岗,0.577,146,51,14,100,77,51,良,213.3333,5,2015-06
7,73,鹤岗,0.687,102,44,11,101,85,50,良,218.2258,4,2015-07
8,63,鹤岗,0.819,94,30,7,82,76,43,良,185.3548,3,2015-08
9,40,鹤岗,0.867,76,22,11,74,31,14,优,61.8000,6,2015-09
10,52,鹤岗,1.065,215,24,7,71,49,31,良,74.4194,8,2015-10
11,65,鹤岗,1.4,200,30,12,62,57,45,良,119.9667,18,2015-11
12,49,鹤岗,1.51,114,20,15,48,36,25,优,65.4839,25,2015-12
13,50,鹤岗,0.852,105,27,17,57,50,32,良,69.4194,15,2016-01
14,57,鹤岗,1.552,108,31,16,71,58,37,良,101.3448,19,2016-02
15,59,鹤岗,1.577,124,38,9,81,64,35,良,80.5484,13,2016-03
16,61,鹤岗,1.25,138,38,9,93,62,32,良,113.9333,6,2016-04
17,69,鹤岗,0.926,130,42,15,112,60,38,良,159.6452,7,2016-05
18,61,鹤岗,0.467,87,39,13,88,66,41,良,165.8667,4,2016-06
19,63,鹤岗,0.468,78,34,10,79,70,39,良,195.9032,3,2016-07
20,56,鹤岗,0.519,109,19,9,66,63,26,良,156.9032,3,2016-08
21,55,鹤岗,0.553,94,26,9,61,63,28,良,132.7333,4,2016-09
22,58,鹤岗,0.697,109,29,15,61,67,32,良,175.0645,9,2016-10
23,79,鹤岗,0.89,147,43,22,54,91,54,良,184.4667,13,2016-11
24,79,鹤岗,1.206,162,34,26,48,94,56,良,127.0968,17,2016-12
25,94,鹤岗,1.381,199,40,26,51,111,68,良,165.7419,19,2017-01
26,58,鹤岗,0.832,119,32,20,68,65,39,良,97.8929,12,2017-02
27,52,鹤岗,0.742,81,35,18,82,59,30,良,111.1290,9,2017-03
28,61,鹤岗,0.753,135,38,20,91,72,35,良,114.7000,8,2017-04
29,57,鹤岗,0.587,119,30,15,96,55,18,良,126.8710,7,2017-05
30,39,鹤岗,0.483,77,19,14,70,34,16,优,102.3333,6,2017-06
31,44,鹤岗,0.565,70,26,14,75,37,20,优,142.4516,7,2017-07
32,38,鹤岗,0.523,68,14,13,59,35,16,优,132.6129,7,2017-08
33,40,鹤岗,0.643,57,25,16,65,39,16,优,116.1333,8,2017-09
34,96,鹤岗,1.016,490,29,26,69,110,74,良,160.7097,11,2017-10
35,68,鹤岗,0.927,280,30,23,60,79,44,良,118.4000,14,2017-11
36,62,鹤岗,1.123,179,26,26,35,77,44,良,84.8065,17,2017-12
37,61,鹤岗,0.981,115,31,23,65,70,40,良,98.9032,17,2018-01
38,60,鹤岗,0.839,102,36,19,80,69,36,良,109.0357,16,2018-02
39,63,鹤岗,0.81,87,44,18,102,70,33,良,129.0000,14,2018-03
40,74,鹤岗,0.743,127,48,19,118,84,36,良,169.6667,9,2018-04
41,68,鹤岗,0.674,100,41,16,119,60,22,良,164.2581,9,2018-05
42,53,鹤岗,0.59,113,24,16,96,41,17,良,91.8333,9,2018-06
43,46,鹤岗,0.687,104,24,17,81,39,18,优,139.2581,7,2018-07
44,38,鹤岗,0.594,56,24,13,62,37,15,优,146.2258,7,2018-08
45,43,鹤岗,0.557,62,19,14,62,47,17,优,168.0333,9,2018-09
46,51,鹤岗,0.677,89,22,18,61,59,20,良,145.5161,12,2018-10
47,58,鹤岗,0.763,142,26,21,51,70,32,良,145.7667,12,2018-11
48,62,鹤岗,0.826,159,34,20,53,75,38,良,137.0968,14,2018-12
49,56,鹤岗,0.8,76,45,12,68,64,31,良,99.5000,10,2019-01
