index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,82,黄冈,0.8,82,82,23,75,114,39,良,166.0000,19,2014-12
1,134,黄冈,1.758,256,39,45,64,144,102,轻度污染,245.9355,29,2015-01
2,122,黄冈,2.25,219,34,30,82,121,92,轻度污染,248.9643,17,2015-02
3,81,黄冈,1.913,148,24,29,87,87,58,良,201.1935,15,2015-03
4,80,黄冈,2.037,127,42,27,121,82,52,良,202.3333,18,2015-04
5,100,黄冈,2.01,170,44,23,136,94,69,轻度污染,262.8065,14,2015-05
6,74,黄冈,1.507,132,42,17,122,64,41,良,218.5667,6,2015-06
7,68,黄冈,0.955,151,39,16,117,52,36,良,178.8710,7,2015-07
8,79,黄冈,0.932,126,27,15,133,55,39,良,230.0000,10,2015-08
9,87,黄冈,1.253,118,44,19,143,65,43,良,285.2667,17,2015-09
10,88,黄冈,1.461,134,32,31,130,92,56,良,230.2258,31,2015-10
11,57,黄冈,1.543,93,28,33,54,57,37,良,120.9000,11,2015-11
12,108,黄冈,1.303,292,44,45,50,115,79,轻度污染,194.4194,13,2015-12
13,100,黄冈,1.406,232,52,38,52,104,73,良,218.0323,10,2016-01
14,98,黄冈,1.331,330,45,26,92,103,72,良,232.0690,11,2016-02
15,103,黄冈,1.384,204,37,34,112,107,74,轻度污染,247.2581,17,2016-03
16,77,黄冈,1.407,131,47,21,127,60,39,良,192.2333,8,2016-04
17,86,黄冈,1.11,164,48,18,138,72,47,良,226.6452,9,2016-05
18,73,黄冈,0.963,131,33,16,123,51,36,良,200.5000,7,2016-06
19,65,黄冈,0.848,131,24,12,107,47,33,良,192.0968,8,2016-07
20,91,黄冈,1.09,169,40,12,145,61,41,良,276.5484,9,2016-08
21,103,黄冈,1.227,197,32,20,158,76,47,轻度污染,281.0333,9,2016-09
22,55,黄冈,1.039,117,28,24,72,51,34,良,146.3548,7,2016-10
23,61,黄冈,0.943,95,22,33,63,68,42,良,119.8000,12,2016-11
24,93,黄冈,1.177,144,42,44,69,107,69,良,181.7742,16,2016-12
25,104,黄冈,1.284,223,28,34,72,120,80,轻度污染,210.4516,14,2017-01
26,91,黄冈,1.086,213,57,32,91,103,67,良,191.5357,16,2017-02
27,86,黄冈,1.239,246,44,34,95,101,60,良,199.7742,14,2017-03
28,80,黄冈,1.193,123,40,26,120,85,43,良,179.3667,12,2017-04
29,103,黄冈,1.09,188,42,21,147,80,43,轻度污染,220.3548,9,2017-05
30,78,黄冈,1.38,138,34,18,127,61,32,良,204.0333,5,2017-06
31,71,黄冈,0.952,144,30,16,118,60,29,良,189.0645,14,2017-07
32,60,黄冈,1.194,99,33,15,106,48,21,良,166.3871,6,2017-08
33,76,黄冈,1.003,172,38,19,123,55,26,良,163.2000,6,2017-09
34,61,黄冈,0.826,129,18,24,99,57,31,良,141.2581,7,2017-10
35,93,黄冈,1.073,160,34,41,82,105,68,良,221.3333,11,2017-11
36,116,黄冈,0.994,218,51,43,33,121,85,轻度污染,220.9032,15,2017-12
37,91,黄冈,1.161,162,33,33,53,97,66,良,188.8387,10,2018-01
38,91,黄冈,1.096,178,33,25,73,99,65,良,205.4286,9,2018-02
39,68,黄冈,1.006,134,30,30,97,74,46,良,145.9032,11,2018-03
40,81,黄冈,1.163,139,0,26,123,93,44,良,207.6000,12,2018-04
41,77,黄冈,0.952,124,44,21,124,61,27,良,195.9355,9,2018-05
42,96,黄冈,0.757,177,41,19,150,62,27,良,213.6333,8,2018-06
43,84,黄冈,0.742,157,32,13,138,49,18,良,224.5484,7,2018-07
44,83,黄冈,0.958,139,44,11,139,47,24,良,172.4194,5,2018-08
45,75,黄冈,0.787,126,39,16,126,54,26,良,216.7000,6,2018-09
46,82,黄冈,0.713,151,48,25,126,69,40,良,214.4839,9,2018-10
47,69,黄冈,0.957,175,22,29,73,75,46,良,178.0000,10,2018-11
48,77,黄冈,0.865,144,20,26,44,84,54,良,182.2903,7,2018-12
49,68,黄冈,0.85,92,50,24,42,75,48,良,137.2500,4,2019-01
