index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,72,黄南州,0.5,72,72,16,72,93,38,良,133.0000,26,2014-12
1,83,黄南州,0.655,196,55,19,66,110,54,良,140.8387,31,2015-01
2,98,黄南州,0.726,179,57,15,84,135,58,良,210.2222,25,2015-02
3,122,黄南州,1.26,259,75,14,106,187,65,轻度污染,292.6667,20,2015-03
4,93,黄南州,0.523,228,54,10,114,122,56,良,220.3000,8,2015-04
5,83,黄南州,1.213,174,59,9,119,97,53,良,223.9355,7,2015-05
6,68,黄南州,0.29,133,47,10,99,79,41,良,205.0667,8,2015-06
7,62,黄南州,0.365,77,49,9,105,47,36,良,169.5806,7,2015-07
8,67,黄南州,0.423,149,43,9,101,65,46,良,184.0645,9,2015-08
9,74,黄南州,0.513,192,42,12,78,67,53,良,221.2667,11,2015-09
10,75,黄南州,0.523,109,50,14,63,79,55,良,194.6452,16,2015-10
11,79,黄南州,0.707,147,49,17,67,88,57,良,215.4000,30,2015-11
12,74,黄南州,0.563,132,53,18,83,82,51,良,159.9667,38,2015-12
13,88,黄南州,0.542,179,43,8,83,113,61,良,195.9583,32,2016-01
14,111,黄南州,0.371,500,55,4,93,149,69,轻度污染,249.6429,25,2016-02
15,119,黄南州,0.559,399,61,5,105,174,67,轻度污染,232.4483,7,2016-03
16,84,黄南州,0.407,143,59,6,110,114,32,良,225.8929,8,2016-04
17,80,黄南州,0.374,181,52,12,119,89,38,良,209.5806,15,2016-05
18,76,黄南州,0.34,104,54,11,130,60,30,良,231.1000,14,2016-06
19,80,黄南州,0.368,110,55,11,124,69,43,良,260.6774,13,2016-07
20,78,黄南州,0.406,114,32,5,100,65,52,良,251.9032,9,2016-08
21,44,黄南州,0.317,65,0,6,80,33,22,优,79.8333,8,2016-09
22,57,黄南州,0.958,100,42,17,73,61,37,良,176.3871,12,2016-10
23,67,黄南州,1.24,107,0,16,41,82,43,良,161.4000,24,2016-11
24,60,黄南州,0.858,98,45,23,63,66,39,良,88.5161,37,2016-12
25,83,黄南州,1.361,302,48,16,81,102,52,良,151.5161,39,2017-01
26,66,黄南州,1.071,96,43,17,89,78,42,良,144.6429,29,2017-02
27,65,黄南州,0.787,108,44,18,103,71,40,良,142.2581,18,2017-03
28,62,黄南州,0.897,97,40,15,108,56,31,良,116.1000,10,2017-04
29,71,黄南州,1.061,89,54,12,123,48,26,良,114.2903,7,2017-05
30,66,黄南州,1.107,92,53,11,118,39,25,良,146.2333,7,2017-06
31,71,黄南州,1.145,101,43,9,123,33,26,良,216.7097,7,2017-07
32,48,黄南州,0.952,83,28,23,89,28,22,优,170.6774,7,2017-08
33,38,黄南州,0.873,87,28,20,65,29,22,优,107.8000,8,2017-09
34,44,黄南州,1.061,66,28,15,54,42,28,优,136.1290,12,2017-10
35,53,黄南州,1.137,91,31,17,59,52,34,良,118.4000,17,2017-11
36,70,黄南州,1.232,183,25,21,37,78,46,良,140.3548,21,2017-12
37,72,黄南州,1.319,154,36,19,73,84,48,良,146.6774,24,2018-01
38,85,黄南州,1.129,262,0,15,94,119,47,良,192.4643,27,2018-02
39,73,黄南州,1.152,158,0,11,105,99,34,良,156.6774,16,2018-03
40,105,黄南州,1.043,500,39,11,105,130,39,轻度污染,162.5667,11,2018-04
41,64,黄南州,0.903,91,0,8,109,66,27,良,153.5161,9,2018-05
42,61,黄南州,1.027,85,0,7,111,37,21,良,119.5333,12,2018-06
43,54,黄南州,0.994,72,40,8,102,37,20,良,179.7097,10,2018-07
44,48,黄南州,1.09,68,24,8,92,35,20,优,152.1290,12,2018-08
45,40,黄南州,0.987,47,31,10,78,29,16,优,95.0333,12,2018-09
46,43,黄南州,0.735,73,32,12,79,36,19,优,81.3226,15,2018-10
47,50,黄南州,1.077,194,32,19,65,56,24,良,91.1667,18,2018-11
48,56,黄南州,1.277,162,0,21,52,67,31,良,136.9032,21,2018-12
49,40,黄南州,0.575,50,32,18,58,40,23,优,77.0000,18,2019-01
