index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,84,黄山,0.2,84,84,25,42,119,60,良,183.0000,10,2014-12
1,74,黄山,0.362,136,22,22,34,68,54,良,105.2857,6,2015-01
2,58,黄山,0.152,77,31,12,51,57,41,良,76.7143,6,2015-04
3,59,黄山,0.171,126,24,10,76,53,40,良,108.7419,8,2015-05
4,39,黄山,0.217,71,21,10,51,32,25,优,61.7333,7,2015-06
5,33,黄山,0.135,75,19,10,33,29,22,优,38.4839,7,2015-07
6,38,黄山,0.119,85,17,10,41,35,26,优,58.9677,8,2015-08
7,45,黄山,0.157,83,23,11,45,44,31,优,96.0000,9,2015-09
8,54,黄山,0.216,83,19,12,71,55,37,良,101.3226,9,2015-10
9,38,黄山,0.213,59,23,19,59,34,23,优,36.4333,13,2015-11
10,70,黄山,0.384,149,30,22,70,66,49,良,122.3548,16,2015-12
11,58,黄山,0.368,144,29,29,81,48,34,良,96.4194,11,2016-01
12,73,黄山,0.207,229,35,26,93,74,51,良,148.3793,10,2016-02
13,69,黄山,0.271,107,45,28,83,67,47,良,129.1935,15,2016-03
14,42,黄山,0.627,60,24,22,73,35,23,优,29.9333,11,2016-04
15,42,黄山,0.539,92,29,17,73,37,23,优,40.3226,18,2016-05
16,36,黄山,0.43,58,24,14,64,31,17,优,40.4667,20,2016-06
17,41,黄山,0.435,74,24,16,80,28,16,优,76.7097,18,2016-07
18,40,黄山,0.468,55,24,16,78,35,19,优,61.9355,22,2016-08
19,45,黄山,0.533,67,25,15,71,43,24,优,74.6000,24,2016-09
20,38,黄山,0.652,52,27,21,66,35,15,优,60.7419,13,2016-10
21,49,黄山,0.75,79,29,25,52,50,25,优,69.7000,12,2016-11
22,66,黄山,0.881,196,28,21,64,72,46,良,88.7097,12,2016-12
23,71,黄山,0.89,209,29,22,64,75,49,良,116.3871,12,2017-01
24,58,黄山,0.675,88,31,20,81,65,37,良,104.1786,12,2017-02
25,53,黄山,0.681,86,29,20,89,53,25,良,82.4516,12,2017-03
26,57,黄山,0.74,83,28,16,99,57,28,良,104.8333,11,2017-04
27,69,黄山,0.684,95,39,16,121,48,27,良,116.4194,17,2017-05
28,51,黄山,0.687,87,33,16,97,30,13,良,88.6333,17,2017-06
29,41,黄山,0.681,81,25,15,79,35,11,优,97.8710,14,2017-07
30,38,黄山,0.652,50,26,17,72,31,10,优,87.2903,11,2017-08
31,41,黄山,0.763,65,27,18,77,35,13,优,77.6667,11,2017-09
32,46,黄山,0.745,85,28,21,79,45,22,优,98.4516,12,2017-10
33,58,黄山,0.75,81,35,27,69,66,35,良,117.6333,11,2017-11
34,64,黄山,0.768,134,23,24,35,78,45,良,104.1613,10,2017-12
35,57,黄山,0.713,110,23,23,49,57,36,良,87.7742,10,2018-01
36,62,黄山,0.721,166,23,16,62,63,40,良,97.8214,14,2018-02
37,43,黄山,0.674,74,0,18,68,44,24,优,43.6129,12,2018-03
38,50,黄山,0.75,78,23,17,75,54,29,优,71.6333,11,2018-04
39,43,黄山,0.674,63,23,14,72,41,20,优,55.7097,12,2018-05
40,42,黄山,0.61,79,22,14,81,34,16,优,50.6333,10,2018-06
41,31,黄山,0.558,42,23,12,59,23,10,优,31.7742,10,2018-07
42,37,黄山,0.716,64,24,11,73,29,14,优,69.3548,10,2018-08
43,38,黄山,0.663,55,22,13,73,33,17,优,100.4333,9,2018-09
44,46,黄山,0.577,66,23,15,79,43,24,优,89.2581,9,2018-10
45,37,黄山,0.64,93,19,17,53,35,21,优,38.8333,9,2018-11
46,52,黄山,0.877,102,20,23,49,46,34,良,107.0968,9,2018-12
47,53,黄山,0.7,64,39,25,42,41,35,良,115.2500,9,2019-01
