index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,96,黄石,1.2,96,96,35,58,143,54,良,221.0000,33,2014-12
1,143,黄石,1.971,275,42,60,42,173,109,轻度污染,257.7419,41,2015-01
2,121,黄石,1.832,224,31,42,61,136,91,轻度污染,250.8214,30,2015-02
3,86,黄石,1.603,136,42,38,63,101,63,良,224.2903,21,2015-03
4,84,黄石,1.477,130,45,40,96,96,61,良,223.5000,25,2015-04
5,109,黄石,1.568,179,59,29,116,114,80,轻度污染,283.0968,29,2015-05
6,73,黄石,1.29,119,42,25,97,78,51,良,222.1333,23,2015-06
7,72,黄石,1.181,136,43,19,96,72,49,良,204.2903,12,2015-07
8,76,黄石,1.397,122,35,16,117,78,51,良,221.5806,10,2015-08
9,84,黄石,1.46,117,44,23,127,84,55,良,280.3333,13,2015-09
10,93,黄石,1.59,153,44,33,103,101,68,良,246.0968,12,2015-10
11,69,黄石,1.873,94,36,27,37,71,48,良,186.5667,11,2015-11
12,116,黄石,1.832,238,46,36,32,120,86,轻度污染,221.3226,23,2015-12
13,112,黄石,2.219,270,58,37,34,120,83,轻度污染,242.1935,25,2016-01
14,94,黄石,1.828,246,49,30,76,105,68,良,235.1034,28,2016-02
15,104,黄石,2.168,236,35,37,85,114,77,轻度污染,241.0000,25,2016-03
16,74,黄石,1.64,114,53,31,95,76,48,良,194.1000,16,2016-04
17,85,黄石,1.429,139,51,29,105,95,60,良,234.5161,18,2016-05
18,73,黄石,1.703,116,42,25,103,77,45,良,214.9000,11,2016-06
19,65,黄石,1.132,134,31,20,99,61,34,良,200.0000,10,2016-07
20,82,黄石,0.984,130,50,22,131,73,43,良,267.0323,16,2016-08
21,89,黄石,1.047,151,29,23,135,78,48,良,256.9333,18,2016-09
22,60,黄石,1.1,122,26,29,51,63,41,良,191.4839,11,2016-10
23,77,黄石,1.163,115,32,41,46,91,56,良,186.8000,19,2016-11
24,105,黄石,1.265,162,52,48,49,118,79,轻度污染,216.3548,19,2016-12
25,114,黄石,1.377,230,44,42,48,126,86,轻度污染,233.4194,22,2017-01
26,94,黄石,1.221,211,58,39,67,105,70,良,194.1071,27,2017-02
27,83,黄石,1.242,230,35,39,76,94,59,良,179.0968,20,2017-03
28,74,黄石,1.153,125,32,39,96,85,49,良,189.5667,22,2017-04
29,93,黄石,1.161,155,37,35,128,81,49,良,216.2581,17,2017-05
30,72,黄石,1.18,125,33,29,111,64,42,良,217.3000,15,2017-06
31,66,黄石,1.019,128,30,25,103,59,36,良,189.2258,15,2017-07
32,56,黄石,1.116,83,29,24,98,52,32,良,189.7419,13,2017-08
33,70,黄石,1.173,130,36,29,104,63,41,良,193.3667,12,2017-09
34,59,黄石,1.139,133,22,32,79,64,41,良,165.5161,11,2017-10
35,97,黄石,1.447,158,50,51,69,108,72,良,219.0000,17,2017-11
36,113,黄石,1.329,210,49,57,28,124,84,轻度污染,211.4516,21,2017-12
37,94,黄石,1.39,170,38,43,46,94,69,良,199.0000,12,2018-01
38,87,黄石,1.325,159,0,41,62,94,63,良,203.1786,18,2018-02
39,67,黄石,1.355,132,36,43,84,74,46,良,141.1290,16,2018-03
40,71,黄石,1.287,130,0,39,113,83,43,良,177.6000,18,2018-04
41,70,黄石,1.006,123,37,31,112,56,33,良,165.2258,14,2018-05
42,82,黄石,1.027,156,36,28,132,54,31,良,175.4000,15,2018-06
43,69,黄石,1.0,115,30,24,118,45,23,良,186.4194,14,2018-07
44,86,黄石,1.003,150,41,24,141,49,28,良,178.9677,12,2018-08
45,75,黄石,1.037,124,36,26,125,52,30,良,207.1333,14,2018-09
46,79,黄石,1.039,143,46,36,116,66,40,良,198.3548,14,2018-10
47,65,黄石,1.247,118,34,39,66,67,44,良,163.2333,12,2018-11
48,77,黄石,1.148,159,27,41,34,83,53,良,175.4839,11,2018-12
49,65,黄石,0.875,83,48,36,30,67,46,良,127.0000,7,2019-01
