index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,31,黑河,0.4,31,31,18,61,29,17,优,4.0000,33,2014-12
1,57,黑河,0.642,125,32,23,56,61,38,良,68.5484,43,2015-01
2,52,黑河,0.532,113,34,22,77,53,30,良,77.7857,33,2015-02
3,56,黑河,0.484,110,37,19,100,55,31,良,97.3871,27,2015-03
4,57,黑河,0.337,106,35,16,95,61,29,良,92.5667,14,2015-04
5,50,黑河,0.261,73,28,12,95,38,23,良,83.9355,8,2015-05
6,53,黑河,0.297,117,32,13,74,52,34,良,125.7000,8,2015-06
7,60,黑河,0.397,96,37,12,93,62,32,良,155.7419,11,2015-07
8,49,黑河,0.41,68,33,13,76,50,23,优,108.1935,12,2015-08
9,35,黑河,0.307,77,15,13,64,30,12,优,44.1000,14,2015-09
10,51,黑河,0.387,222,27,15,71,48,26,良,75.1935,19,2015-10
11,71,黑河,0.577,252,28,12,58,46,51,良,117.5333,19,2015-11
12,58,黑河,0.745,124,25,21,40,46,39,良,95.0323,32,2015-12
13,40,黑河,0.542,72,27,18,52,26,23,优,40.1613,39,2016-01
14,45,黑河,0.521,69,30,19,53,33,26,优,44.7586,42,2016-02
15,43,黑河,0.442,76,30,20,72,35,22,优,28.6452,28,2016-03
16,42,黑河,0.273,70,30,18,75,33,19,优,33.7333,21,2016-04
17,59,黑河,0.348,180,28,21,96,44,33,良,104.2581,22,2016-05
18,38,黑河,0.563,65,24,16,72,29,15,优,54.8333,22,2016-06
19,39,黑河,0.61,67,28,16,71,34,15,优,81.6129,20,2016-07
20,36,黑河,0.558,52,28,15,54,34,14,优,45.1935,20,2016-08
21,45,黑河,0.727,89,30,18,49,43,22,优,80.1333,19,2016-09
22,34,黑河,0.374,69,27,15,54,33,18,优,40.9032,22,2016-10
23,49,黑河,0.543,84,27,22,58,44,33,优,76.9667,25,2016-11
24,53,黑河,0.777,117,30,21,50,54,36,良,60.1935,27,2016-12
25,57,黑河,0.732,127,31,21,58,57,40,良,70.0645,35,2017-01
26,45,黑河,0.686,70,34,18,75,42,28,优,57.1786,20,2017-02
27,48,黑河,0.584,125,32,17,88,42,28,优,95.6452,16,2017-03
28,51,黑河,0.697,139,33,12,87,42,27,良,78.9000,12,2017-04
29,61,黑河,0.635,500,24,12,89,38,16,良,81.5806,7,2017-05
30,46,黑河,0.58,81,27,14,81,36,16,优,141.5667,11,2017-06
31,56,黑河,0.729,144,27,12,100,36,17,良,132.8065,12,2017-07
32,38,黑河,0.677,70,21,10,58,33,21,优,136.7742,12,2017-08
33,34,黑河,0.727,50,23,12,60,31,16,优,78.9333,12,2017-09
34,40,黑河,0.719,113,29,16,64,35,20,优,93.8065,17,2017-10
35,43,黑河,0.74,106,26,15,55,42,25,优,65.7000,19,2017-11
36,37,黑河,0.897,74,18,14,36,34,22,优,31.3548,22,2017-12
37,44,黑河,0.939,87,0,15,66,40,26,优,50.9355,28,2018-01
38,42,黑河,0.832,60,32,12,74,38,21,优,36.5714,24,2018-02
39,62,黑河,0.623,183,42,12,110,47,29,良,117.3871,21,2018-03
40,61,黑河,0.513,82,0,11,111,43,26,良,128.4000,11,2018-04
41,61,黑河,0.558,89,39,11,112,37,19,良,134.3871,8,2018-05
42,45,黑河,0.543,142,22,10,84,30,13,优,63.7000,6,2018-06
43,39,黑河,0.587,84,26,9,72,31,12,优,100.3871,6,2018-07
44,36,黑河,0.542,47,28,9,54,36,12,优,140.6774,7,2018-08
45,35,黑河,0.51,51,20,10,57,33,12,优,116.1000,7,2018-09
46,36,黑河,0.497,67,19,14,52,36,15,优,77.1935,12,2018-10
47,51,黑河,0.7,76,36,16,48,55,19,良,124.0333,18,2018-11
48,51,黑河,0.777,78,28,16,49,58,23,良,106.0968,16,2018-12
49,49,黑河,0.875,59,40,19,60,52,24,优,99.5000,16,2019-01
