index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,75,黔东南州,0.7,75,75,43,87,94,55,良,145.0000,35,2014-12
1,73,黔东南州,0.971,124,13,35,57,77,53,良,118.0323,28,2015-01
2,49,黔东南州,0.854,120,18,26,62,45,32,优,57.6786,19,2015-02
3,44,黔东南州,0.79,72,20,25,61,42,27,优,52.4839,12,2015-03
4,57,黔东南州,0.657,100,34,25,95,45,31,良,91.7333,10,2015-04
5,49,黔东南州,0.665,79,34,23,86,42,29,优,69.0323,7,2015-05
6,36,黔东南州,0.61,47,21,17,68,28,17,优,45.4333,8,2015-06
7,46,黔东南州,0.59,75,20,23,85,38,25,优,88.6452,8,2015-07
8,43,黔东南州,0.477,102,21,24,70,37,25,优,79.7097,11,2015-08
9,48,黔东南州,0.63,88,23,23,70,45,31,优,103.7333,9,2015-09
10,54,黔东南州,0.513,85,32,28,86,53,35,良,97.4194,13,2015-10
11,39,黔东南州,0.66,69,21,20,45,36,24,优,43.0333,13,2015-11
12,56,黔东南州,0.584,94,28,27,45,55,36,良,81.3871,14,2015-12
13,57,黔东南州,0.71,119,23,23,42,55,38,良,97.6774,13,2016-01
14,70,黔东南州,0.576,252,28,25,79,70,49,良,132.8621,17,2016-02
15,63,黔东南州,0.594,92,29,29,79,62,43,良,107.6774,10,2016-03
16,45,黔东南州,0.57,79,28,23,73,42,27,优,48.3667,8,2016-04
17,46,黔东南州,0.584,74,24,23,74,40,24,优,54.5161,6,2016-05
18,39,黔东南州,0.623,63,26,18,70,30,17,优,57.1333,8,2016-06
19,34,黔东南州,0.571,50,20,15,63,26,14,优,49.5161,6,2016-07
20,46,黔东南州,0.794,84,23,21,82,40,23,优,89.0000,9,2016-08
21,63,黔东南州,0.737,142,27,25,108,53,33,良,162.8667,10,2016-09
22,50,黔东南州,0.658,89,17,23,64,47,29,良,135.6452,7,2016-10
23,41,黔东南州,0.833,55,18,25,32,40,25,优,49.2000,8,2016-11
24,77,黔东南州,1.055,169,30,37,33,78,55,良,120.4839,15,2016-12
25,80,黔东南州,1.219,170,30,29,35,75,58,良,144.7742,12,2017-01
26,54,黔东南州,1.079,107,30,29,43,52,38,良,91.0714,15,2017-02
27,45,黔东南州,0.884,82,25,30,39,40,27,优,64.1935,8,2017-03
28,41,黔东南州,0.75,73,22,23,60,39,24,优,70.2000,6,2017-04
29,40,黔东南州,0.652,72,22,25,64,35,21,优,55.9032,4,2017-05
30,34,黔东南州,0.723,59,18,23,56,27,18,优,86.3000,4,2017-06
31,39,黔东南州,0.784,83,19,15,75,27,17,优,62.7742,4,2017-07
32,36,黔东南州,0.797,79,19,15,69,25,16,优,76.7419,5,2017-08
33,38,黔东南州,0.833,68,21,18,57,37,23,优,100.5667,8,2017-09
34,50,黔东南州,0.774,98,21,20,60,46,32,优,125.9355,11,2017-10
35,63,黔东南州,0.8,128,31,32,59,67,45,良,115.8667,11,2017-11
36,75,黔东南州,0.965,138,37,42,40,77,54,良,117.0323,16,2017-12
37,57,黔东南州,1.019,117,23,29,44,54,39,良,93.8387,15,2018-01
38,71,黔东南州,0.871,117,35,27,84,73,50,良,145.6429,13,2018-02
39,62,黔东南州,0.742,109,23,29,84,53,37,良,125.3871,11,2018-03
40,61,黔东南州,0.523,102,29,19,104,56,32,良,122.7667,7,2018-04
41,49,黔东南州,0.603,64,32,16,90,34,22,优,85.9677,7,2018-05
42,42,黔东南州,0.807,74,24,20,78,30,19,优,53.2667,8,2018-06
43,39,黔东南州,0.794,65,25,15,75,27,16,优,82.0000,8,2018-07
44,46,黔东南州,0.874,97,21,19,86,32,20,优,102.0645,10,2018-08
45,39,黔东南州,0.737,64,19,16,71,26,18,优,78.4000,15,2018-09
46,46,黔东南州,0.813,82,23,23,76,38,26,优,95.7742,24,2018-10
47,42,黔东南州,0.873,84,20,27,53,38,25,优,66.8333,17,2018-11
48,49,黔东南州,0.965,103,20,23,44,45,31,优,90.0968,24,2018-12
49,49,黔东南州,0.675,67,34,21,55,40,32,优,95.5000,38,2019-01
