index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,54,龙岩,1.0,54,54,28,82,58,29,良,60.0000,27,2014-12
1,63,龙岩,1.294,93,34,32,64,72,42,良,80.8065,24,2015-01
2,56,龙岩,1.075,104,25,25,66,56,39,良,79.2500,14,2015-02
3,43,龙岩,1.042,75,13,19,66,41,27,优,46.1935,11,2015-03
4,55,龙岩,0.917,112,18,24,91,53,32,良,87.9333,13,2015-04
5,37,龙岩,0.977,66,21,22,64,32,18,优,29.3548,7,2015-05
6,36,龙岩,0.713,63,24,16,69,30,15,优,44.5667,8,2015-06
7,39,龙岩,0.729,73,20,17,72,35,18,优,61.6774,7,2015-07
8,45,龙岩,0.677,102,21,19,82,35,18,优,83.6129,8,2015-08
9,53,龙岩,0.823,83,27,22,97,44,25,良,131.3333,10,2015-09
10,59,龙岩,0.8,102,28,26,102,50,28,良,115.3871,13,2015-10
11,48,龙岩,0.893,73,22,29,69,48,27,优,92.6667,16,2015-11
12,46,龙岩,0.997,84,27,30,51,43,26,优,51.0968,12,2015-12
13,48,龙岩,1.019,82,30,30,49,44,27,优,57.3226,12,2016-01
14,49,龙岩,0.759,135,23,16,79,43,28,优,59.0000,9,2016-02
15,60,龙岩,1.039,152,26,34,79,53,33,良,94.5806,10,2016-03
16,55,龙岩,0.907,103,30,25,91,44,26,良,92.6333,11,2016-04
17,52,龙岩,0.835,100,30,22,94,44,23,良,84.0968,10,2016-05
18,42,龙岩,0.673,84,25,19,79,35,15,优,76.7000,9,2016-06
19,47,龙岩,0.7,101,20,20,83,42,19,优,109.7742,9,2016-07
20,50,龙岩,0.813,90,23,21,89,43,20,优,119.7097,7,2016-08
21,55,龙岩,0.853,99,23,21,95,43,23,良,124.7000,9,2016-09
22,38,龙岩,0.694,64,23,18,66,32,16,优,74.0323,8,2016-10
23,51,龙岩,0.83,90,25,31,69,50,26,良,83.7000,11,2016-11
24,57,龙岩,0.868,77,28,36,75,63,34,良,63.4516,13,2016-12
25,53,龙岩,0.923,180,23,28,64,52,33,良,62.3226,13,2017-01
26,48,龙岩,0.754,78,26,26,85,42,27,优,54.3214,10,2017-02
27,49,龙岩,0.935,71,25,32,70,43,27,优,80.6129,8,2017-03
28,54,龙岩,0.787,96,27,25,93,42,23,良,69.1000,8,2017-04
29,56,龙岩,0.819,106,27,25,97,40,22,良,83.3871,7,2017-05
30,31,龙岩,0.7,46,20,18,55,25,11,优,62.0333,7,2017-06
31,44,龙岩,0.668,104,22,19,72,37,15,优,126.0323,8,2017-07
32,45,龙岩,0.645,75,24,20,83,39,17,优,129.9032,8,2017-08
33,55,龙岩,0.7,92,31,22,102,42,22,良,119.7333,9,2017-09
34,56,龙岩,0.655,95,28,22,101,42,23,良,112.3548,10,2017-10
35,51,龙岩,0.83,94,20,27,69,48,31,良,86.8667,11,2017-11
36,53,龙岩,0.845,84,15,34,44,57,34,良,63.4194,15,2017-12
37,51,龙岩,0.816,82,22,34,64,49,29,良,75.2903,13,2018-01
38,57,龙岩,0.682,256,20,21,75,50,37,良,72.7500,11,2018-02
39,60,龙岩,0.684,95,33,27,102,51,29,良,113.3871,10,2018-03
40,60,龙岩,0.72,107,30,27,96,60,32,良,116.8667,10,2018-04
41,57,龙岩,0.665,88,30,23,101,49,26,良,118.3871,7,2018-05
42,48,龙岩,0.683,107,27,18,86,38,19,优,74.9000,7,2018-06
43,42,龙岩,0.632,68,31,18,78,37,17,优,98.3871,9,2018-07
44,49,龙岩,0.723,95,27,21,87,40,21,优,126.4516,8,2018-08
45,43,龙岩,0.6,79,18,18,77,34,17,优,96.6667,8,2018-09
46,56,龙岩,0.694,91,22,25,92,45,27,良,125.9355,11,2018-10
47,43,龙岩,0.733,70,23,25,55,40,23,优,82.1667,11,2018-11
48,39,龙岩,0.823,65,20,25,45,39,21,优,59.4516,11,2018-12
49,30,龙岩,0.7,46,23,23,38,30,17,优,12.2500,11,2019-01
