index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,79,上海,0.703,139,43,36,122,54,40,良,220.8333,10,2016-06
1,90,上海,0.737,159,53,50,126,81,56,良,245.9667,14,2016-04
2,80,上海,0.684,134,45,49,107,76,52,良,179.0645,17,2016-03
3,80,上海,0.855,178,42,43,97,78,54,良,193.5517,19,2016-02
4,102,上海,1.045,213,40,57,69,91,70,轻度污染,204.5806,24,2016-01
5,117,上海,1.197,266,53,67,52,104,82,轻度污染,231.6129,25,2015-12
6,87,上海,1.09,179,35,58,69,74,58,良,222.8667,17,2015-11
7,82,上海,0.816,133,47,49,127,73,47,良,217.7097,17,2015-10
8,79,上海,0.72,159,35,32,132,49,34,良,231.9,13,2015-09
9,86,上海,0.735,181,28,28,135,58,40,良,217.4516,13,2015-08
10,84,上海,0.6579999999999999,171,31,31,134,57,39,良,199.2258,11,2015-07
11,80,上海,0.6970000000000001,188,43,35,129,57,43,良,227.4333,11,2015-06
12,77,上海,0.6970000000000001,117,51,39,126,63,44,良,203.3871,12,2015-05
13,88,上海,0.79,166,44,53,122,81,56,良,230.5,16,2015-04
14,81,上海,0.845,143,37,48,102,66,54,良,183.2903,15,2015-03
15,90,上海,0.946,222,34,46,81,85,64,良,170.1071,20,2015-02
16,111,上海,1.09,256,28,63,56,108,83,轻度污染,185.3548,29,2015-01
17,99,上海,1.09,190,39,68,47,113,72,良,112.1613,36,2014-12
18,74,上海,0.843,182,38,52,84,71,52,良,63.3333,18,2014-11
19,77,上海,0.7809999999999999,137,52,42,119,68,40,良,74.2903,16,2014-10
20,69,上海,0.74,138,32,32,117,52,35,良,99.1667,13,2014-09
21,67,上海,0.768,150,30,34,112,52,38,良,84.2258,13,2014-08
22,74,上海,0.765,167,32,31,112,63,45,良,83.5484,12,2014-07
23,72,上海,0.72,182,37,35,118,58,44,良,73.0333,12,2014-06
24,96,上海,0.777,193,53,42,142,99,63,良,103.4194,17,2014-05
25,77,上海,0.727,187,50,47,108,67,53,良,73.5333,15,2014-04
26,82,上海,0.787,202,39,51,100,84,57,良,71.3871,19,2014-03
27,74,上海,0.7959999999999999,240,27,36,73,59,52,良,57.9643,17,2014-02
28,93,上海,0.742,163,51,41,135,77,51,良,247.1935,12,2016-05
29,95,上海,0.752,169,24,31,143,59,38,良,253.4516,10,2016-07
30,59,上海,0.665,135,26,23,104,36,19,良,159.7097,11,2016-08
31,68,上海,0.723,163,23,34,112,45,32,良,164.6333,12,2016-09
32,69,上海,0.675,87,40,48,60,46,39,良,111.0,9,2019-01
33,65,上海,0.703,133,36,50,56,53,36,良,146.9032,8,2018-12
34,72,上海,0.72,163,42,53,82,50,40,良,192.3667,7,2018-11
35,67,上海,0.5770000000000001,124,42,41,110,47,26,良,121.9355,8,2018-10
36,70,上海,0.677,146,26,34,110,39,24,良,147.1667,7,2018-09
37,58,上海,0.535,140,30,20,102,32,16,良,80.129,6,2018-08
38,60,上海,0.532,186,22,24,98,36,22,良,127.0323,8,2018-07
39,90,上海,0.607,202,42,32,146,42,35,良,76.5,10,2018-06
40,89,上海,0.6579999999999999,147,42,41,137,58,44,良,222.7097,11,2018-05
41,86,上海,0.653,181,0,47,132,75,40,良,201.8667,13,2018-04
42,69,上海,0.642,120,42,45,102,50,40,良,162.1613,12,2018-03
43,73,上海,0.779,162,39,47,90,61,44,良,150.0714,14,2018-02
44,92,上海,0.977,239,35,58,63,64,58,良,178.0645,14,2018-01
45,103,上海,0.997,238,30,54,58,90,77,轻度污染,58.4839,28,2014-01
46,97,上海,1.061,225,48,69,39,75,54,良,113.9032,15,2017-12
47,58,上海,0.732,88,36,34,101,42,24,良,110.9677,9,2017-10
48,74,上海,0.77,168,44,36,118,42,26,良,125.4667,9,2017-09
49,97,上海,0.7809999999999999,193,25,32,151,47,31,良,150.2581,8,2017-08
50,117,上海,0.706,205,33,30,177,55,33,轻度污染,177.0323,10,2017-07
51,83,上海,0.7,160,46,35,130,42,38,良,174.6333,9,2017-06
52,88,上海,0.674,161,42,37,136,49,28,良,119.9677,11,2017-05
53,91,上海,0.83,139,53,51,133,70,45,良,165.7,12,2017-04
54,71,上海,0.768,102,47,50,108,58,44,良,120.871,12,2017-03
55,77,上海,0.868,154,38,49,93,57,50,良,127.6071,14,2017-02
56,73,上海,0.945,130,34,47,74,55,45,良,129.8387,17,2017-01
57,94,上海,1.058,185,38,65,64,77,58,良,169.7097,19,2016-12
58,78,上海,0.867,144,37,58,69,62,44,良,188.1,16,2016-11
59,51,上海,0.632,72,29,33,87,37,22,良,144.3548,12,2016-10
60,78,上海,0.863,130,38,59,80,68,41,良,113.4667,13,2017-11
61,158,上海,1.3730000000000002,468,24,71,49,140,125,中度污染,63.1333,48,2013-12
62,100,北京,1.73,291,23,56,38,97,73,轻度污染,31.8,37,2013-12
63,75,北京,0.871,233,33,46,41,81,40,良,179.1935,7,2018-12
64,106,北京,0.8029999999999999,209,43,44,116,118,69,轻度污染,262.8966,10,2016-04
65,132,北京,1.229,365,37,57,79,136,93,轻度污染,212.9032,18,2016-03
66,71,北京,0.903,238,34,35,68,59,44,良,111.6897,15,2016-02
67,97,北京,1.584,316,32,53,42,88,68,良,165.4194,20,2016-01
68,187,北京,2.865,485,23,76,26,172,152,中度污染,253.1613,20,2015-12
69,153,北京,1.983,450,37,62,25,85,119,中度污染,285.7667,12,2015-11
70,106,北京,0.955,344,27,55,74,86,74,轻度污染,175.0645,6,2015-10
71,83,北京,0.8370000000000001,201,34,43,109,59,50,良,220.8,5,2015-09
72,104,北京,0.79,202,37,31,159,66,45,轻度污染,273.7419,3,2015-08
73,122,北京,0.823,200,41,35,177,74,61,轻度污染,304.0968,4,2015-07
74,111,北京,1.3030000000000002,231,35,35,156,70,60,轻度污染,269.5333,6,2015-06
75,105,北京,0.745,203,42,37,153,97,55,轻度污染,244.6774,8,2015-05
76,127,北京,1.194,281,40,53,87,146,86,轻度污染,253.4516,20,2015-03
77,111,北京,0.665,234,49,38,160,90,54,轻度污染,266.6129,8,2016-05
78,127,北京,1.4569999999999999,334,36,51,60,114,93,轻度污染,212.8571,26,2015-02
79,86,北京,1.5519999999999998,267,21,53,42,95,58,良,65.4194,28,2014-12
80,117,北京,1.567,342,29,65,37,127,86,轻度污染,101.4667,16,2014-11
81,154,北京,1.339,381,28,70,54,148,118,中度污染,121.4194,9,2014-10
82,99,北京,0.983,200,43,49,106,88,65,良,142.7667,6,2014-09
83,120,北京,0.8390000000000001,200,46,43,172,88,62,轻度污染,157.3226,5,2014-08
84,140,北京,0.9390000000000001,252,39,39,170,100,89,轻度污染,154.9677,6,2014-07
85,116,北京,0.79,179,50,39,168,74,54,轻度污染,143.3,6,2014-06
86,107,北京,0.8390000000000001,205,46,47,149,118,61,轻度污染,115.8387,15,2014-05
87,127,北京,0.927,279,65,57,129,145,89,轻度污染,144.5,16,2014-04
88,130,北京,1.39,319,35,62,83,138,94,轻度污染,108.5161,34,2014-03
89,184,北京,2.171,428,33,69,42,155,148,中度污染,136.6071,56,2014-02
90,125,北京,1.9480000000000002,402,26,65,37,123,94,轻度污染,80.0,51,2014-01
91,81,北京,1.025,162,40,50,37,74,57,良,205.5,12,2019-01
92,126,北京,1.91,378,28,66,39,120,97,轻度污染,196.6452,34,2015-01
93,126,北京,0.767,189,50,35,183,70,59,轻度污染,315.7667,5,2016-06
94,107,北京,0.76,212,38,43,124,118,71,轻度污染,250.6,9,2015-04
95,108,北京,1.107,270,39,60,37,98,71,轻度污染,263.0333,7,2018-11
96,118,北京,0.9159999999999999,177,40,33,159,74,69,轻度污染,307.5484,3,2016-07
97,74,北京,0.71,202,25,45,70,62,41,良,170.129,4,2018-10
98,59,北京,0.603,130,26,34,92,45,28,良,195.3333,3,2018-09
99,93,北京,0.861,172,39,28,145,51,35,良,215.7742,3,2018-08
100,100,北京,0.9259999999999999,173,31,26,147,53,50,轻度污染,257.0323,3,2018-07
101,123,北京,0.8029999999999999,203,48,35,183,74,48,轻度污染,96.9667,4,2018-06
102,100,北京,0.7,185,0,40,146,93,48,轻度污染,242.7742,5,2018-05
103,105,北京,0.743,273,39,41,125,116,64,轻度污染,234.8333,7,2018-04
104,81,北京,0.861,219,35,34,76,72,50,良,140.5,10,2018-02
105,66,北京,0.8320000000000001,175,29,42,52,64,34,良,112.8065,8,2018-01
106,81,北京,1.09,254,23,49,25,68,44,良,105.3871,8,2017-12
107,75,北京,0.903,201,30,49,44,73,46,良,147.7667,5,2017-11
108,84,北京,0.9229999999999999,221,25,46,47,63,57,良,216.4839,3,2017-10
109,98,北京,0.9129999999999999,189,36,49,123,100,58,良,264.1667,4,2017-09
110,119,北京,1.084,294,0,58,88,108,85,轻度污染,254.7419,10,2018-03
111,94,北京,0.8320000000000001,179,34,35,135,60,47,良,269.2258,3,2016-08
112,85,北京,0.8029999999999999,162,34,35,131,56,38,良,224.1935,3,2017-08
113,86,北京,0.76,211,0,43,104,73,55,良,217.8,3,2016-09
114,116,北京,1.155,292,29,56,47,101,85,轻度污染,278.9355,4,2016-10
115,133,北京,1.797,315,28,68,28,134,100,轻度污染,254.0,11,2016-11
116,146,北京,2.2030000000000003,470,34,65,41,131,116,轻度污染,208.3871,18,2017-01
117,100,北京,1.318,305,36,53,65,84,71,良,170.4286,18,2017-02
118,168,北京,2.51,431,54,80,28,159,133,中度污染,250.0968,17,2016-12
119,87,北京,0.693,174,38,48,101,104,53,良,229.2,7,2017-04
120,134,北京,0.674,500,53,37,161,104,48,轻度污染,218.3226,7,2017-05
121,125,北京,0.7829999999999999,200,50,38,184,75,42,轻度污染,228.5333,6,2017-06
122,118,北京,0.894,208,38,34,174,71,52,轻度污染,242.0645,3,2017-07
123,94,北京,0.9129999999999999,273,40,50,86,84,63,良,176.5161,11,2017-03
124,66,广州,0.823,151,33,42,96,36,21,良,111.6452,12,2017-07
125,81,广州,1.003,109,48,66,59,66,41,良,150.8387,12,2017-03
126,56,广州,0.777,117,40,39,86,35,18,良,86.5333,10,2017-06
127,90,广州,0.897,201,43,52,129,56,34,良,139.9355,12,2017-05
128,83,广州,0.86,181,45,58,92,61,34,良,124.2333,12,2017-04
129,74,广州,0.95,122,33,59,93,62,44,良,113.3214,13,2017-02
130,82,广州,0.894,197,25,40,125,56,37,良,233.0,14,2016-08
131,86,广州,1.103,128,37,71,84,83,51,良,153.4516,14,2016-12
132,76,广州,1.0170000000000001,166,33,62,78,69,41,良,176.5667,14,2016-11
133,51,广州,0.89,85,33,35,79,48,30,良,143.6129,11,2016-10
134,76,广州,0.903,201,38,41,107,57,36,良,193.8,12,2016-09
135,73,广州,0.8029999999999999,152,28,39,114,39,23,良,147.9032,11,2017-08
136,81,广州,1.229,205,40,65,79,76,54,良,143.8065,12,2017-01
137,97,广州,0.97,204,36,51,141,55,34,良,162.6667,12,2017-09
138,68,广州,0.907,99,37,51,78,63,39,良,196.1667,8,2018-11
139,67,广州,1.0,108,36,51,70,59,39,良,128.9333,11,2017-11
140,81,广州,1.042,126,35,65,47,76,51,良,120.871,16,2017-12
141,96,广州,1.1320000000000001,196,38,75,67,80,62,良,195.0968,14,2018-01
142,71,广州,0.779,195,27,45,84,57,44,良,134.3929,10,2018-02
143,85,广州,0.835,150,38,61,106,64,43,良,215.6129,13,2018-03
144,80,广州,0.823,159,39,54,96,68,40,良,196.8667,12,2018-04
145,80,广州,0.6970000000000001,170,43,40,125,42,24,良,190.0323,10,2018-05
146,74,广州,0.79,154,40,40,109,37,22,良,63.9,8,2018-06
147,62,广州,0.716,135,35,36,97,36,19,良,166.3226,8,2018-07
148,74,广州,0.861,132,38,45,114,42,26,良,170.0323,8,2018-08
149,67,广州,0.6829999999999999,134,28,39,112,42,27,良,164.4667,8,2018-09
150,79,广州,0.813,147,40,48,108,56,35,良,169.4516,10,2018-10
151,74,广州,0.877,202,28,33,113,45,27,良,199.1935,12,2016-07
152,66,广州,0.91,122,29,42,113,49,32,良,136.8387,11,2017-10
153,60,广州,0.85,120,36,33,97,41,23,良,153.4,9,2016-06
154,109,广州,1.2830000000000001,190,21,63,81,106,82,轻度污染,44.2,27,2013-12
155,66,广州,1.053,129,45,51,47,55,38,良,150.0,13,2016-04
156,58,广州,0.929,113,29,45,53,50,32,良,124.0323,7,2018-12
157,120,广州,1.371,207,59,74,91,117,90,轻度污染,89.3548,22,2014-01
158,63,广州,0.971,145,12,44,59,61,46,良,55.6071,12,2014-02
159,77,广州,1.129,172,28,57,62,79,55,良,69.0323,17,2014-03
160,69,广州,0.9670000000000001,108,48,54,79,69,49,良,59.8667,19,2014-04
