index,value,name,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,type,rank,so2,date
28,158,上海,1.373,468,24,71,49,140,125,中度污染,63.1333,48,2013/12/1
76,138,乌鲁木齐,2.55,296,55,70,11,145,106,轻度污染,61.7667,37,2013/12/1
154,100,北京,1.73,291,23,56,38,97,73,轻度污染,31.8,37,2013/12/1
214,195,南京,1.62,386,61,87,37,243,155,中度污染,80.0333,61,2013/12/1
279,148,南宁,1.577,204,30,63,97,162,111,轻度污染,68.2,41,2013/12/1
342,70,厦门,0.803,110,27,42,94,74,48,良,20.4,22,2013/12/1
400,222,合肥,1.867,411,71,48,36,195,180,重度污染,87.6,41,2013/12/1
460,112,呼和浩特,4.323,182,37,59,27,154,78,轻度污染,47.0333,95,2013/12/1
523,156,天津,2.7,371,31,78,26,203,120,中度污染,60.5,129,2013/12/1
558,109,广州,1.283,190,21,63,81,106,82,轻度污染,44.2,27,2013/12/1
621,175,成都,1.607,285,72,76,46,209,136,中度污染,76.9667,32,2013/12/1
712,179,杭州,1.623,413,33,79,43,192,142,中度污染,68.9667,45,2013/12/1
744,225,武汉,1.94,351,77,93,46,218,179,重度污染,93.2333,77,2013/12/1
839,86,海口,0.963,173,17,20,92,86,63,良,30.7667,15,2013/12/1
898,103,深圳,1.433,173,21,51,87,109,77,轻度污染,40.9667,19,2013/12/1
931,156,西安,2.942,481,66,64,26,202,122,中度污染,59.375,79,2013/12/1
27,103,上海,0.997,238,30,54,58,90,77,轻度污染,58.4839,28,2014/1/1
87,151,乌鲁木齐,2.858,289,58,67,16,185,114,中度污染,108.0645,50,2014/1/1
155,125,北京,1.948,402,26,65,37,123,94,轻度污染,80,51,2014/1/1
187,166,南京,1.374,347,65,73,56,201,129,中度污染,121.2258,46,2014/1/1
307,147,南宁,1.532,250,66,57,93,162,112,轻度污染,112.4194,35,2014/1/1
343,75,厦门,0.81,140,34,48,101,74,53,良,34.3226,23,2014/1/1
386,196,合肥,1.577,401,90,39,39,164,155,中度污染,140.2258,32,2014/1/1
458,91,呼和浩特,4.039,302,38,60,31,123,61,良,55.2258,98,2014/1/1
522,147,天津,2.526,357,26,71,27,179,113,轻度污染,98.9677,113,2014/1/1
619,120,广州,1.371,207,59,74,91,117,90,轻度污染,89.3548,22,2014/1/1
668,222,成都,1.587,462,74,73,50,256,179,重度污染,148.5484,32,2014/1/1
715,136,杭州,1.155,265,53,61,49,142,103,轻度污染,94.2258,33,2014/1/1
745,229,武汉,2.026,337,93,80,51,195,183,重度污染,152.2903,68,2014/1/1
853,78,海口,0.916,152,41,19,95,79,55,良,38.9032,9,2014/1/1
901,82,深圳,1.248,130,43,42,96,90,60,良,45.4194,14,2014/1/1
963,175,西安,3.037,352,72,72,27,229,133,中度污染,124.3,85,2014/1/1
26,74,上海,0.796,240,27,36,73,59,52,良,57.9643,17,2014/2/1
94,109,乌鲁木齐,2.475,201,31,74,39,123,81,轻度污染,112.0714,50,2014/2/1
156,184,北京,2.171,428,33,69,42,155,148,中度污染,136.6071,56,2014/2/1
233,105,南京,1.021,242,24,44,66,109,78,轻度污染,103.8571,24,2014/2/1
